Field,Description,Type,Coverage,Date Coverage,Alphas,__page
anl15_gr_12_m_1m_chg,The weighted 1-month percent change of 12-month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_3m_chg,The weighted 3-month percent change of 12-month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_6m_chg,The weighted 6-month percent change of 12-month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_cos,The number of companies with a 12-month forward mean EPS estimation within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_cos_dn,The number of companies for which 12-month forward mean EPS estimation has been lowered from last month within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_cos_up,The number of companies for which 12-month forward mean EPS estimation has been raised from last month within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_ests,The 12-month forward pro-rated total number of estimates within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_ests_dn,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all equity clearance activity for the date, symbol, and transaction type in question.",Matrix,1.5,100%,100%,1
anl15_gr_12_m_ests_up,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all equity clearance activity for the date, symbol, and transaction type in question.",Matrix,1.5,100%,100%,1
anl15_gr_12_m_gro,The weighted 12-month forward year-over-year growth of EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_mean,The weighted average of 12-month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_mktcap,The total market capitalization for the companies aggregated within GICS group grouping with a 12-month forward mean price estimation.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_pe,The weighted average price/earnings ratio based on 12 month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_st_dev,The weighted average standard deviation of 12-month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_total,The total of 12-month forward earnings estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_12_m_tr_mean,The weighted average of 12-month trailing EPS aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_18_m_1m_chg,The weighted 1-month percent change of 18-month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_18_m_3m_chg,The weighted 3-month percent change of 18-month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_18_m_6m_chg,The weighted 6-month percent change of 18-month forward EPS estimation aggregated within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_18_m_cos,The number of companies with an 18-month forward mean EPS estimation within GICS group grouping.,Matrix,1.5,100%,100%,1
anl15_gr_18_m_cos_dn,The number of companies for which 18-month forward mean EPS estimation has been lowered from last month within GICS group grouping.,Matrix,1.5,100%,100%,2
anl15_gr_18_m_cos_up,The number of companies for which 18-month forward mean EPS estimation has been raised from last month within GICS group grouping.,Matrix,1.5,100%,100%,2
anl15_gr_18_m_ests,The 18-month forward pro-rated total number of estimates within GICS group grouping.,Matrix,1.5,100%,100%,2
anl15_gr_18_m_ests_dn,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all equity clearance activity for the date, symbol, and transaction type in question.",Matrix,1.5,100%,100%,2
anl15_gr_18_m_ests_up,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all equity clearance activity for the date, symbol, and transaction type in question.",Matrix,1.5,100%,100%,2
