Field,Description,Type,Coverage,Date Coverage,Alphas,__page
anl14_actvalue_bvps_fp0,Book Value Per Share - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_capex_fp0,Capital Expenditures - Recent Last Quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_cfps_fp0,Cash Flow Per Share - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_div_fp0,Dividend - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_ebit_fp0,Earnings Before Interest & Taxes - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_ebitda_fp0,"Earnings Before Interest, Taxes, Depreciation & Amortization - recent last quarter",Matrix,1.5,50%,100%,1
anl14_actvalue_eps_fp0,Earnings per share - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_epsrep_fp0,Reported Earnings Per Share - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_ndebt_fp0,Net Debt - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_ntp_fp0,Net Profit - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_ntprep_fp0,Reported Net Profit - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_opp_fp0,Operating profit - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_ptp_fp0,Pretax profit - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_ptprep_fp0,Reported pretax profit - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_revenue_fp0,Revenue - recent last quarter,Matrix,1.5,50%,100%,1
anl14_actvalue_roe_fp0,Returns on equity - recent last quarter,Matrix,1.5,50%,100%,1
anl14_d1_curperiodnum,Number of period -,Matrix,1.5,50%,100%,1
anl14_d1_curperiodtype,Type of period -,Matrix,1.5,50%,100%,1
anl14_d1_cursharesoutstanding,current Share Outstanding -,Matrix,1.5,50%,100%,1
anl14_high_bvps_fp1,The Highest Estimation of Book Value Per Share - Upcoming Quarter,Matrix,1.5,50%,100%,1
anl14_high_bvps_fp2,The Highest Estimation of Book Value Per Share - Upcoming 2 Quarters,Matrix,1.5,50%,100%,1
anl14_high_bvps_fp3,The Highest Estimation of Book Value Per Share - upcoming 3 quarters,Matrix,1.5,50%,100%,1
anl14_high_bvps_fp4,The highest estimation of book value per share - upcoming 4 quarters,Matrix,1.5,50%,100%,1
anl14_high_bvps_fp5,The Highest Estimation of Book Value Per Share - Upcoming 5 Quarters,Matrix,1.5,50%,100%,1
anl14_high_bvps_fy1,The highest estimation of Book Value Per Share - upcoming year,Matrix,1.5,50%,100%,1
anl14_high_bvps_fy2,The highest estimation of Book Value Per Share - upcoming 2 years,Matrix,1.5,50%,100%,1
anl14_high_bvps_fy3,The highest estimation of Book Value Per Share - upcoming 3 years,Matrix,1.5,50%,100%,1
anl14_high_bvps_fy4,The highest estimation of Book Value Per Share - upcoming 4 years,Matrix,1.5,50%,100%,1
anl14_high_bvps_fy5,The Highest Estimation of Book Value Per Share - upcoming 5 years,Matrix,1.5,50%,100%,1
anl14_high_capex_fp1,The highest estimation of capital expenditures - upcoming quarter,Matrix,1.5,50%,100%,1
anl14_high_capex_fp2,The Highest estimation of Capital Expenditures - upcoming 2 quarters,Matrix,1.5,50%,100%,1
anl14_high_capex_fp3,The Highest Estimation of Capital Expenditures - upcoming 3 quarters,Matrix,1.5,50%,100%,1
anl14_high_capex_fp4,The Highest Estimation of Capital Expenditures - Upcoming 4 Quarters,Matrix,1.5,50%,100%,1
anl14_high_capex_fp5,The Highest Estimation of Capital Expenditures - upcoming 5 quarters,Matrix,1.5,50%,100%,1
anl14_high_capex_fy1,The highest estimation of Capital Expenditures - upcoming year,Matrix,1.5,50%,100%,1
anl14_high_capex_fy2,The Highest Estimation of Capital Expenditures - upcoming 2 years,Matrix,1.5,50%,100%,1
anl14_high_capex_fy3,The highest estimation of capital expenditures - upcoming 3 years,Matrix,1.5,50%,100%,1
anl14_high_capex_fy4,The highest estimation of capital expenditures - upcoming 4 years,Matrix,1.5,50%,100%,1
anl14_high_capex_fy5,The Highest Estimation of Capital Expenditures - upcoming 5 years,Matrix,1.5,50%,100%,1
anl14_high_cfps_fp1,The Highest Estimation of Cash Flow Per Share - upcoming quarter,Matrix,1.5,50%,100%,1
anl14_high_cfps_fp2,The Highest Estimation of Cash Flow Per Share - upcoming 2 quarters,Matrix,1.5,50%,100%,1
anl14_high_cfps_fp3,The highest estimation of cash flow per share - upcoming 3 quarters,Matrix,1.5,50%,100%,1
anl14_high_cfps_fp4,The Highest Estimation of Cash Flow Per Share - upcoming 4 quarters,Matrix,1.5,50%,100%,1
anl14_high_cfps_fy1,The highest estimation of cash flow per share - upcoming year,Matrix,1.5,50%,100%,1
anl14_high_cfps_fy2,The Highest estimation of Cash Flow Per Share - upcoming 2 years,Matrix,1.5,50%,100%,1
anl14_high_cfps_fy3,The Highest Estimation of Cash Flow Per Share - Upcoming 3 Years,Matrix,1.5,50%,100%,1
anl14_high_cfps_fy4,The highest estimation of cash flow per share - upcoming 4 years,Matrix,1.5,50%,100%,1
anl14_high_div_fp1,The highest estimation of dividend - upcoming quarter,Matrix,1.5,50%,100%,1
anl14_high_div_fp2,The highest estimation of dividend - upcoming 2 quarters,Matrix,1.5,50%,100%,1
anl14_high_div_fp3,The highest estimation of dividend - upcoming 3 quarters,Matrix,1.5,50%,100%,1
anl14_high_div_fp4,The highest estimation of dividend - upcoming 4 quarters,Matrix,1.5,50%,100%,2
anl14_high_div_fp5,The Highest estimation of Dividend - upcoming 5 quarters,Matrix,1.5,50%,100%,2
anl14_high_div_fy1,The Highest Estimation of Dividend - Upcoming Year,Matrix,1.5,50%,100%,2
anl14_high_div_fy2,The Highest Estimation of Dividend - Upcoming 2 Years,Matrix,1.5,50%,100%,2
anl14_high_div_fy3,The Highest Estimation of Dividend - Upcoming 3 Years,Matrix,1.5,50%,100%,2
anl14_high_div_fy4,The Highest Estimation of Dividend - upcoming 4 years,Matrix,1.5,50%,100%,2
anl14_high_div_fy5,The Highest Estimation of Dividend - upcoming 5 years,Matrix,1.5,50%,100%,2
anl14_high_ebit_fp1,The highest estimation of earnings before interest & taxes - upcoming quarter,Matrix,1.5,50%,100%,2
anl14_high_ebit_fp2,The Highest Estimation of Earnings Before Interest & Taxes - upcoming 2 quarters,Matrix,1.5,50%,100%,2
anl14_high_ebit_fp3,The Highest Estimation of Earnings Before Interest & Taxes - upcoming 3 quarters,Matrix,1.5,50%,100%,2
anl14_high_ebit_fp4,The highest estimation of earnings before interest & taxes - upcoming 4 quarters,Matrix,1.5,50%,100%,2
anl14_high_ebit_fp5,The Highest Estimation of Earnings Before Interest & Taxes - upcoming 5 quarters,Matrix,1.5,50%,100%,2
anl14_high_ebit_fy1,The Highest Estimation of Earnings Before Interest & Taxes - Upcoming Year,Matrix,1.5,50%,100%,2
anl14_high_ebit_fy2,The highest estimation of Earnings Before Interest & Taxes - upcoming 2 years,Matrix,1.5,50%,100%,2
anl14_high_ebit_fy3,The Highest Estimation of Earnings Before Interest & Taxes - upcoming 3 years,Matrix,1.5,50%,100%,2
anl14_high_ebit_fy4,The Highest Estimation of Earnings Before Interest & Taxes - upcoming 4 years,Matrix,1.5,50%,100%,2
anl14_high_ebit_fy5,The Highest Estimation of Earnings Before Interest & Taxes - upcoming 5 years,Matrix,1.5,50%,100%,2
anl14_high_ebitda_fp1,"The highest estimation of earnings before interest, taxes, depreciation & amortization - upcoming quarter",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fp2,"The Highest Estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 2 quarters",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fp3,"The highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 3 quarters",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fp4,"The highest estimation of earnings before interest, taxes, depreciation & amortization - upcoming 4 quarters",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fp5,"The Highest Estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 quarters",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fy1,"The Highest Estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming year",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fy2,"The Highest Estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 2 years",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fy3,"The Highest Estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - Upcoming 3 Years",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fy4,"The highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 4 years",Matrix,1.5,50%,100%,2
anl14_high_ebitda_fy5,"The Highest Estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 years",Matrix,1.5,50%,100%,2
anl14_high_eps_fp1,The highest estimation of Earnings Per Share - upcoming quarter,Matrix,1.5,50%,100%,2
anl14_high_eps_fp2,The highest estimation of Earnings Per Share - upcoming 2 quarters,Matrix,1.5,50%,100%,2
anl14_high_eps_fp3,The Highest estimation of Earnings Per Share - upcoming 3 quarters,Matrix,1.5,50%,100%,2
anl14_high_eps_fp4,The Highest Estimation of Earnings Per Share - upcoming 4 quarters,Matrix,1.5,50%,100%,2
anl14_high_eps_fp5,The highest estimation of Earnings Per Share - upcoming 5 quarters,Matrix,1.5,50%,100%,2
anl14_high_eps_fy1,The Highest Estimation of Earnings Per Share - Upcoming Year,Matrix,1.5,50%,100%,2
anl14_high_eps_fy2,The Highest Estimation of Earnings Per Share - upcoming 2 years,Matrix,1.5,50%,100%,2
anl14_high_eps_fy3,The highest estimation of Earnings Per Share - upcoming 3 years,Matrix,1.5,50%,100%,2
anl14_high_eps_fy4,The Highest Estimation of Earnings Per Share - upcoming 4 years,Matrix,1.5,50%,100%,2
anl14_high_eps_fy5,The highest estimation of earnings per share - upcoming 5 years,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp1,The highest estimation of reported earnings per share - upcoming quarter,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp2,The Highest Estimation of Reported Earnings Per Share - upcoming 2 quarters,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp3,The Highest Estimation of Reported Earnings Per Share - upcoming 3 quarters,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp4,The highest estimation of reported earnings per share - upcoming 4 quarters,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp5,The highest estimation of reported earnings per share - upcoming 5 quarters,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fy1,The Highest Estimation of Reported Earnings Per Share - upcoming year,Matrix,1.5,50%,100%,2
