id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
anl69_best_cur_ev_to_ebitda,EV to EBITDA,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.8903,247,509,1.5,[]
anl69_best_ebit,EBIT,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.8836,10,13,1.5,[]
anl69_best_ebit_4wk_chg,EBIT 4 Wk Chg,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.8419,11,13,1.5,[]
anl69_best_ebit_4wk_dn,EBIT 4 Wk Down,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.7775,10,40,1.5,[]
anl69_best_ebit_4wk_up,EBIT 4 Wk Up,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.7686,11,21,1.5,[]
anl69_best_ebit_chg_pct,EBIT % Chg,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.8503,7,9,1.5,[]
anl69_best_ebit_hi,EBIT High,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.8836,8,9,1.5,[]
anl69_best_ebit_lo,EBIT Low,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.8836,3,5,1.5,[]
anl69_best_ebit_median,EBIT Median,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.884,10,13,1.5,[]
anl69_best_ebit_numest,EBIT # Ests,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.8837,3,4,1.5,[]
anl69_best_ebit_stddev,EBIT Std Dev,analyst69,Fundamental Analyst Estimates,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.7951,4,4,1.5,[]
