id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
anl44_2_bps_coveredby,bps coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6921,18,42,1.5,[]
anl44_2_bps_lastactccy,bps lastactccy,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6725,1,1,1.5,[]
anl44_2_bps_lastactvalue,bps lastactvalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6347,3,3,1.5,[]
anl44_2_bps_prevalue,bps prevalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6673,5,5,1.5,[]
anl44_2_bps_value,bps value,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6921,2,3,1.5,[]
anl44_2_capex_coveredby,capex coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6711,3,3,1.5,[]
anl44_2_capex_lastactccy,capex lastactccy,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6512,1,1,1.5,[]
anl44_2_capex_lastactvalue,capex lastactvalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6102,5,6,1.5,[]
anl44_2_capex_prevalue,capex prevalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6383,2,5,1.5,[]
anl44_2_capex_value,capex value,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,GLB,1,TOP3000,VECTOR,1,0.6711,4,4,1.5,[]
