Field,Description,Type,Coverage,Date Coverage,Alphas,__page
anl10_bpspast_det_analyst_6402,Analyst ID for book value per share estimates,Vector,1.5,100%,100%,1
anl10_bpspast_det_anntime_6403,Announce time for book value per share estimates,Vector,1.5,100%,100%,1
anl10_bpspast_det_estage_6399,Age of book value per share estimates in days,Vector,1.5,100%,100%,1
anl10_bpspast_det_estflag_6404,Estimate flag for book value per share,Vector,1.5,100%,100%,1
anl10_bpspast_det_estvalue_6397,Estimate value for book value per share,Vector,1.5,100%,100%,1
anl10_bpspast_det_excflag_6398,Exclusion flag for book value per share estimates,Vector,1.5,100%,100%,1
anl10_bpspast_det_indicator_6405,"Indicator for fiscal periods in ASCII values (54=fq1, 55=fq2, 49=fy1, 50=fy2) for book value per share estimates",Vector,1.5,100%,100%,1
anl10_cpsff_6268,Ff 6268 for cash per share,Matrix,1.5,100%,100%,1
anl10_cpsfq1_consensus_6279,Consensus estimate value for cash per share Q1,Matrix,1.5,97%,100%,1
anl10_cpsfq1_pred_surps_v0_6305,Predicted surprise version 0 for cash per share for Q1 (calculated as (smart_ests - consensus)/consensus),Matrix,1.5,97%,100%,1
anl10_cpsfq1_pred_surps_v1_6289,Predicted surprise version 1 for cash per share for Q1 (calculated as (smart_ests - consensus)/consensus),Matrix,1.5,97%,100%,1
anl10_cpsfq1_pred_surps_v2_6306,Predicted surprise version 2 for cash per share for Q1 (calculated as (smart_ests - consensus)/consensus),Matrix,1.5,97%,100%,1
anl10_cpsfq1_smart_ests_v0_6280,Smart estimates version 0 value for cash per share for Q1,Matrix,1.5,97%,100%,1
anl10_cpsfq1_smart_ests_v1_6275,Smart estimates version 1 value for cash per share for Q1,Matrix,1.5,97%,100%,1
anl10_cpsfq1_smart_ests_v2_6288,Smart estimates version 2 value for cash per share for Q1,Matrix,1.5,97%,100%,1
anl10_cpsfq2_consensus_6300,Consensus estimate value for cash per share Q2,Matrix,1.5,84%,100%,1
anl10_cpsfq2_pred_surps_v0_6298,Predicted surprise version 0 for cash per share for Q2 (calculated as (smart_ests - consensus)/consensus),Matrix,1.5,84%,100%,1
