id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
eps_change_absolute_value,The absolute change in earnings per share compared to the previous period.,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.5304,0.2851,2,2,1.2,[]
eps_change_percentage_value,The percentage change in earnings per share compared to the previous period.,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.5304,0.2851,2,2,1.2,[]
ern6_1q,Earnings Date for 1st quarter - may be historical,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.6621,0.332,3,4,1.2,[]
ern6_1q_316,Earnings Date for 1st quarter - may be historical,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.6621,0.563,35,54,1.2,[]
ern6_2q,Earnings Date for 2nd quarter - may be historical,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.6621,0.332,2,2,1.2,[]
ern6_2q_317,Earnings Date for 2nd quarter - may be historical,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.6621,0.5633,30,33,1.2,[]
ern6_3q,Earnings Date for 3rd quarter - may be historical,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.6621,0.332,5,5,1.2,[]
ern6_3q_318,Earnings Date for 3rd quarter - may be historical,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.6621,0.563,24,29,1.2,[]
ern6_4q,Earnings Date for 4th quarter - may be historical,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.6621,0.332,3,3,1.2,[]
ern6_4q_319,Earnings Date for 4th quarter - may be historical,earnings6,International Findings Data,earnings,Earnings,earnings-earnings-estimates,Earnings Estimates,ASI,1,MINVOL1M,VECTOR,0.6621,0.563,29,32,1.2,[]
