id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth466_aor_tr,Return On Assets,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,135,463,1.1,[]
oth466_bs_acconts_pay,Accounts Payable,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,102,276,1.1,[]
oth466_bs_accr_exp_xpayr_q,Other Accrued Expenses,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.325,67,146,1.1,[]
oth466_bs_accr_payr,Other Accrued Expenses,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8107,33,41,1.1,[]
oth466_bs_accrued_income_taxes,Income Tax Payable,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,99,209,1.1,[]
oth466_bs_accum_depr,Accumulated Depreciation,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,63,174,1.1,[]
oth466_bs_allow_doubtful_acc_rec,Allowance For Doubtful Accounts,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,66,117,1.1,[]
oth466_bs_assets_curr_oth_q,Other Current Assets,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,66,124,1.1,[]
oth466_bs_assets_curr_q,Total Current Assets,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,74,149,1.1,[]
oth466_bs_assets_intl,Assets - International,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.352,28,51,1.1,[]
oth466_bs_assets_oth,Other Assets,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,64,138,1.1,[]
oth466_bs_assets_oth_intang_q,Other Assets (incl. Intangibles),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,46,73,1.1,[]
oth466_bs_assets_oth_q,Other Assets,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9975,51,65,1.1,[]
oth466_bs_assets_oth_tang,Other Assets (incl. Tangibles),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.769,55,88,1.1,[]
oth466_bs_assets_oth_tot,"Other Long-Term Assets, Total",other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,53,109,1.1,[]
oth466_bs_assets_oth_tot_q,"Other Long-term Assets, Total",other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,55,123,1.1,[]
oth466_bs_assets_tot,Total Assets,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,77,221,1.1,[]
oth466_bs_assets_tot_q,Total Assets,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,56,165,1.1,[]
oth466_bs_bdebt_q,Bad Debt,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.6744,54,96,1.1,[]
oth466_bs_bps_tang_q,Tangible Book Value per Share,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,79,201,1.1,[]
oth466_bs_bv_tang,Tangible Book Value,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,56,110,1.1,[]
oth466_bs_cap_surp,Capital Surplus,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,66,153,1.1,[]
oth466_bs_cash_equiv_q,Cash and equivalents,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,83,520,1.1,[]
oth466_bs_cash_only_q,Net Cash,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,65,151,1.1,[]
oth466_bs_cash_st_invest,Cash & Short-Term Investments,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,75,253,1.1,[]
oth466_bs_cash_st_q,Cash & Short-Term Investments,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,28,53,1.1,[]
oth466_bs_com_eq_apic_q,Additional Paid-In Capital,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9919,55,179,1.1,[]
oth466_bs_com_eq_for_exch_q,Unrealized Foreign Exchange Gain/Loss,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.4477,12,12,1.1,[]
oth466_bs_com_eq_par_q,Common Stock Par/Carry Value,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,65,187,1.1,[]
