id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
accounts_payable_trade,Total trade accounts payable outstanding at the end of the quarter.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2528,1,1,1.1,[]
cash_and_equivalents_3,The total value of cash and cash equivalents held by the company.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2586,2,2,1.1,[]
consolidated_quarterly_metric_111210000000185,Consolidated quarterly value for the financial metric with code 111210000000185.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2584,0,0,1.1,[]
consolidated_quarterly_metric_111220000000195,Consolidated quarterly value for the financial metric with code 111220000000195.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2556,1,1,1.1,[]
consolidated_quarterly_metric_121130000000671,Consolidated quarterly value for the financial metric with code 121130000000671.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2567,0,0,1.1,[]
consolidated_quarterly_metric_122230200100772,Consolidated quarterly value for the financial metric with code 122230200100772.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2576,0,0,1.1,[]
consolidated_quarterly_metric_181100100101864,Consolidated quarterly value for the financial metric with code 181100100101864.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2792,0,0,1.1,[]
consolidated_quarterly_metric_181100400101867,Consolidated quarterly value for the financial metric with code 181100400101867.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2688,0,0,1.1,[]
consolidated_quarterly_metric_181100500101942,Consolidated quarterly value for the financial metric with code 181100500101942.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2577,0,0,1.1,[]
deferred_tax_assets_current,Deferred tax assets classified as current on the balance sheet.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.255,0,0,1.1,[]
deferred_tax_assets_noncurrent_value,The value of noncurrent deferred tax assets reported on the balance sheet.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2585,0,0,1.1,[]
deferred_tax_assets_total_2,The total value of deferred tax assets reported on the balance sheet.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.25,0,0,1.1,[]
depreciation_and_amortization_expense,Total depreciation and amortization expense recognized during the quarter.,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.2922,0,0,1.1,[]
fnd94_aor_tr,Return on Assets,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,47,87,1.1,[]
fnd94_bs_acconts_pay,Accounts Payable,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,17,38,1.1,[]
fnd94_bs_accr_exp_xpayr_q,Other Accrued Expenses,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.325,9,9,1.1,[]
fnd94_bs_accr_payr,Other Accrued Expenses,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.8107,6,6,1.1,[]
fnd94_bs_accrued_income_taxes,Income Tax Payable,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,8,9,1.1,[]
fnd94_bs_accum_depr,Accumulated Depreciation,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,12,13,1.1,[]
fnd94_bs_allow_doubtful_acc_rec,Allowance for Doubtful Accounts,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,10,12,1.1,[]
fnd94_bs_assets_curr_oth_q,Other Current Assets,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,8,9,1.1,[]
fnd94_bs_assets_curr_q,Total Current Assets,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,11,13,1.1,[]
fnd94_bs_assets_intl,Assets - International,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.352,7,11,1.1,[]
fnd94_bs_assets_oth,Other Assets,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,8,8,1.1,[]
fnd94_bs_assets_oth_intang_q,Other Assets (incl. Intangibles),fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,7,7,1.1,[]
fnd94_bs_assets_oth_q,Other Assets,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9975,12,12,1.1,[]
fnd94_bs_assets_oth_tang,Other Assets (Incl. Tangibles),fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.769,7,7,1.1,[]
fnd94_bs_assets_oth_tot,"Other Long-Term Assets, Total",fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,5,5,1.1,[]
fnd94_bs_assets_oth_tot_q,"Other Long-term Assets, Total",fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,5,9,1.1,[]
fnd94_bs_assets_tot,Total Assets,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,15,21,1.1,[]
fnd94_bs_assets_tot_q,Total Assets,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,9,10,1.1,[]
fnd94_bs_bdebt_q,Bad debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.6744,7,7,1.1,[]
fnd94_bs_bps_tang_q,Tangible Book Value Per Share,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,6,6,1.1,[]
fnd94_bs_bv_tang,Tangible Book Value,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,7,8,1.1,[]
fnd94_bs_cap_surp,Capital Surplus,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,4,4,1.1,[]
fnd94_bs_cash_equiv_q,Cash and Equivalents,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,10,13,1.1,[]
fnd94_bs_cash_only_q,Net Cash,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,12,15,1.1,[]
fnd94_bs_cash_st_invest,Cash & Short-Term Investments,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,4,6,1.1,[]
fnd94_bs_cash_st_q,Cash & Short-Term Investments,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,8,10,1.1,[]
fnd94_bs_com_eq_apic_q,Additional Paid-In Capital,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9919,2,2,1.1,[]
fnd94_bs_com_eq_for_exch_q,Unrealized Foreign Exchange Gain/Loss,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.4477,0,0,1.1,[]
fnd94_bs_com_eq_par_q,Common Stock Par/Carry Value,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,9,32,1.1,[]
fnd94_bs_com_eq_retain_earn_q,Retained earnings,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9255,11,13,1.1,[]
fnd94_bs_common_eq,Common Equity,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,4,5,1.1,[]
fnd94_bs_common_eqt_tot,Common Equity - Total,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,3,3,1.1,[]
fnd94_bs_common_stk,Common Stock,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,3,5,1.1,[]
fnd94_bs_curr_asset_tot,Current Assets - Total,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,4,7,1.1,[]
fnd94_bs_curr_assets_oth,Current Assets - Other,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9312,0,0,1.1,[]
fnd94_bs_curr_liab_oth,Other Current Liabilities,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,3,3,1.1,[]
fnd94_bs_curr_liab_tot,Total Current Liabilities,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,2,4,1.1,[]
fnd94_bs_curr_por_lt_debt,Current Portion of Long-Term Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,3,4,1.1,[]
fnd94_bs_debt_lt_curr_q,Current Portion of Long-Term Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.7294,6,7,1.1,[]
fnd94_bs_debt_lt_net,"Long-Term Debt, Net",fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9152,3,3,1.1,[]
fnd94_bs_debt_lt_q,Long-Term Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.8661,4,6,1.1,[]
fnd94_bs_debt_lt_tot,"Long-Term Debt, Total",fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9587,6,14,1.1,[]
fnd94_bs_debt_lt_xcap_q,LT Debt excl Capital Lease Obligations,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.8664,3,9,1.1,[]
fnd94_bs_debt_net,Net Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,2,3,1.1,[]
fnd94_bs_debt_notes_bonds_tot,"Total Long-Term Debt, Supplemental",fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.7058,3,3,1.1,[]
fnd94_bs_debt_q,Total Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,7,9,1.1,[]
fnd94_bs_debt_st,Short-Term Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,4,4,1.1,[]
fnd94_bs_debt_st_curr_port,Long-Term Debt Maturing Within 1 Year,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.8249,3,3,1.1,[]
fnd94_bs_debt_st_lt_tot,Short Term Debt & Current Portion of Long-Term Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,1,1,1.1,[]
fnd94_bs_debt_st_q,Short-Term Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9808,2,2,1.1,[]
fnd94_bs_debt_st_x_curr_port_q,Short-Term Debt,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9076,5,6,1.1,[]
fnd94_bs_defer_rev_curr,Deferred Revenue - Current,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.7286,2,2,1.1,[]
fnd94_bs_dfd_revenue_lt_q,Deferred revenue - long term,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.2924,1,1,1.1,[]
fnd94_bs_dfd_revenue_q,Deferred Revenue - Current,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.7054,33,47,1.1,[]
fnd94_bs_dfd_tax_as_q,Deferred Income Tax - Current Asset,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.2996,0,0,1.1,[]
fnd94_bs_dfd_tax_assets_lt,Deferred Income Tax Long-Term Asset,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9711,6,8,1.1,[]
fnd94_bs_dfd_tax_assets_st,Deferred Income Tax - Current Asset,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.3398,0,0,1.1,[]
fnd94_bs_dfd_tax_cr_q,Deferred Tax Liabilities,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.7408,2,3,1.1,[]
fnd94_bs_dfd_tax_db_q,Deferred Tax Assets,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,7,11,1.1,[]
fnd94_bs_dfd_tax_itc_q,Deferred taxes and investment tax credit,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,0.9247,2,2,1.1,[]
fnd94_bs_dfd_tax_q,Deferred Taxes,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,2,2,1.1,[]
fnd94_bs_disclosed_intangibles,Intangible Assets - Total,fundamental94,Aggregated Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,,1,1,2,1.1,[]
