id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
enterprise_value_to_ebitda_current,The ratio of enterprise value to EBITDA for the current period.,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.7877,17,19,1.1,[]
financial_reporting_currency_code_3,The ISO code of the currency in which the company reports its financial statements.,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8467,9,9,1.1,[]
fnd17_1_reptoprcexrate,Reporting Currency to base currency exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,359,924,1.1,[]
fnd17_1_usdtorepexrate,Reporting Currency to USD exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,207,471,1.1,[]
fnd17_2_reptoprcexrate,Reporting Currency to base currency exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,177,387,1.1,[]
fnd17_2_usdtorepexrate,Reporting Currency to USD exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,152,270,1.1,[]
fnd17_2anrhsfcfq,Free Cash Flow per share - most recent quarter - 1 (not annualized),fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.5758,275,679,1.1,[]
fnd17_2anrhsfcq,Cash Flow per share - most recent quarter - 1 (not annualized),fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8132,176,401,1.1,[]
fnd17_2qe2dtlq,"LT debt/equity - most recent quarter, 1 year ago",fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8101,183,377,1.1,[]
fnd17_2rhsfca,Cash Flow per share - most recent fiscal year - 1,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8306,122,268,1.1,[]
fnd17_2rhsfcfq,"Free Cash Flow per share - most recent quarter, 1 year ago",fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.573,132,254,1.1,[]
fnd17_2rhsfcq,"Cash Flow per share - most recent quarter, 1 year ago",fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8028,120,391,1.1,[]
fnd17_2tcpngmpoa,Operating Margin - 2nd historical fiscal year,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8307,131,383,1.1,[]
fnd17_3_reptoprcexrate,Reporting Currency to base currency exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,109,260,1.1,[]
fnd17_3_usdtorepexrate,Reporting Currency to USD exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,70,213,1.1,[]
fnd17_4_reptoprcexrate,Reporting Currency to base currency exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,86,308,1.1,[]
fnd17_4_usdtorepexrate,Reporting Currency to USD exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,75,139,1.1,[]
fnd17_5_reptoprcexrate,Reporting Currency to base currency exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,80,245,1.1,[]
fnd17_5_usdtorepexrate,Reporting Currency to USD exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,78,198,1.1,[]
fnd17_6_reptoprcexrate,Reporting Currency to base currency exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,83,206,1.1,[]
fnd17_6_usdtorepexrate,Reporting Currency to USD exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,70,196,1.1,[]
fnd17_7_reptoprcexrate,Reporting Currency to base currency exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,88,236,1.1,[]
fnd17_7_usdtorepexrate,Reporting Currency to USD exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,68,146,1.1,[]
fnd17_8_reptoprcexrate,Reporting Currency to base currency exchange rate,fundamental17,Direct Fundamental Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,0.8464,72,231,1.1,[]
