id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
fnd21_allcategories_articlevolumettm,Trailing 12 Months Volume of news articles relevant to all the ESG categories of any company.,fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.3581,21,31,1.1,[]
fnd21_allcategories_categoryvolumettm,Trailing 12 Months Volume of news articles relevant to all the ESG categories of any company.,fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.3581,16,23,1.1,[]
fnd21_allcategories_insight_allcategories_insight,Insight score derived from news articles relevant to all the ESG categories of any company.,fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.4019,16,28,1.1,[]
fnd21_allcategories_insight_allcategoriesindustrypercentile_insight,Percentile within SICS industry for a company derived from insight scores calculated from news articles relevant to all the ESG categories of any company.,fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.4016,19,32,1.1,[]
fnd21_allcategories_insight_materiality_insight,Insight score derived from news articles relevant to all material categories of any company.,fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.3607,10,13,1.1,[]
fnd21_allcategories_insight_materialityindustrypercentile_insight,%ile within SICS industry for a company derived from insight scores calculated from news articles relevant to all material categories of any company.,fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.3604,19,28,1.1,[]
fnd21_allcategories_insight_supplychainmanagement_insight,"Insight score derived from news articles relevant to Supply Chain Management category of any company. This topic addresses the management of environmental, social, and governance risks within a company's supply chain. The supply chain is defined broadly and includes multiple tiers of suppliers from raw material suppliers to manufacturers of end products. It includes how companies screen, select, monitor, and engage with suppliers on environmental and social topics including environmental responsibility, human rights and labor practices, and ethics and corruption. The scope of the topic excludes issues related to impacts of climate change and other environmental and social factors on the availability and pricing of key resources.",fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2527,10,19,1.1,[]
fnd21_allcategories_insight_supplychainmanagementindustrypercentile_insight,"Percentile within SICS industry for a company derived from insight scores calculated from news articles relevant to Supply Chain Management category of any company. This topic addresses the management of environmental, social, and governance risks within a company's supply chain. The supply chain is defined broadly and includes multiple tiers of suppliers from raw material suppliers to manufacturers of end products. It includes how companies screen, select, monitor, and engage with suppliers on environmental and social topics including environmental responsibility, human rights and labor practices, and ethics and corruption. The scope of the topic excludes issues related to impacts of climate change and other environmental and social factors on availability and pricing of key resources.",fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2524,7,13,1.1,[]
fnd21_allcategories_momentum,Trend measure derived from news articles relevant to all the ESG categories of any company.,fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.4205,11,19,1.1,[]
fnd21_allcategories_pulse,"Short-term, real-time performance pulse score derived from news articles relevant to all the ESG categories of any company.",fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.403,12,16,1.1,[]
fnd21_allcategoriesindustrypercentile_momentum,%ile within SICS industry for a company derived from momentum scores calculated from news articles relevant to all the ESG categories of any company.,fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.4204,10,23,1.1,[]
fnd21_ghgemissions_momentum,"Trend measure derived from news articles relevant to GHG Emissions category of any company. This topic describes the management of direct (Scope 1) greenhouse gas emissions, including that from fuel consumption at stationary and non-stationary sources, exposure to regulation associated with carbon emissions, and relates to measures to mitigate emissions.",fundamental21,ESG Scores Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2595,8,11,1.1,[]
