id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
fnd109_atlas_unit_name,Atlas unit name,fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,9,11,1.1,[]
fnd109_cancellation_score,Score: Equity cancellation,fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,9,10,1.1,[]
fnd109_cash_holding_score,Score: Policy stockholdings,fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.4581,0.4119,5,5,1.1,[]
fnd109_chair_board_score,Score who chairs the boards of directors,fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,9,10,1.1,[]
fnd109_comp_com_num_independent_score,Number of independent directors who are the member of compensation committee (either statutory or voluntary),fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,5,7,1.1,[]
fnd109_comp_committee_score,Score: Compensation committee (either statutory or voluntary),fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,2,2,1.1,[]
fnd109_company_name,Company name,fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,4,4,1.1,[]
fnd109_compensation_policy_score,Score: Policy for determining the amount of remuneration and its calculation method,fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,6,6,1.1,[]
fnd109_disclosure_of_compensation_score,Score: Disclosure of information about compensation,fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,7,7,1.1,[]
fnd109_electric_voting_score,Score: Offer of exercise of voting rights by electromagnetic means,fundamental109,Japanese Corporate Governance Data,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.609,0.4122,1,1,1.1,[]
