id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
aggregate_director_compensation,Total compensation received by the director for the period.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2522,0,0,1.1,[]
aggregate_director_compensation_2,Total compensation received by a director for the period.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2523,1,1,1.1,[]
annual_base_salary,Base annual salary paid to the director.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2523,1,1,1.1,[]
annual_bonus_payment,Bonus payments received by a director for a given year.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2523,2,2,1.1,[]
board_nationality_diversity_ratio,Proportion of directors from different countries on the board.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2521,1,1,1.1,[]
board_nationality_diversity_ratio_2,Proportion of directors from different countries on the board (alternate).,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2522,0,0,1.1,[]
bonus_proportion_total_comp,Bonus as a proportion of total direct compensation.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2523,0,0,1.1,[]
bonus_to_compensation_ratio,Bonus as a proportion of total direct compensation less pension.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2522,0,0,1.1,[]
compensation_change_percent,Percentage change in total director compensation from previous period.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2522,0,0,1.1,[]
compensation_change_percent_2,Percentage change in total director compensation from previous period (alternate).,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2523,1,1,1.1,[]
compensation_currency_code,Currency code in which director compensation values are reported.,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2522,0,0,1.1,[]
compensation_currency_code_2,Currency code in which director compensation values are reported (alternate).,fundamental1,Management and Executive Data,fundamental,Fundamental,fundamental-fundamental-models,Fundamental Models,ASI,1,MINVOL1M,VECTOR,1,0.2523,0,0,1.1,[]
