id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
io_fund_holding,Total shares that the entity holds at the reported time,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.7578,562,2375,1.1,[]
io_fund_mv,Total market values that the entity holds at the reported time,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.7578,391,1054,1.1,[]
io_fund_number,The total number of holders of the security,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.7578,281,642,1.1,[]
io_fund_pct,The percentage of the total shares outstanding (TSO) of the security held in aggregate by all filing funds // Note: For some records pct_held is greater than 100 (error at vendor's end); use with discretion.,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.7578,349,1378,1.1,[]
io_fund_prev_holding,The number of shares in that entity at the last reported time,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.7578,252,532,1.1,[]
io_fund_prev_mv,The total value of that entity at the last reported time,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.7578,166,331,1.1,[]
io_inst_holding,Total shares that the institution holds at the reported time,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.3836,66,95,1.1,[]
io_inst_mv,Total market values that the institution holds at the reported time,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.3835,87,114,1.1,[]
io_inst_number,The total number of institutional holders of the security,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.3839,93,130,1.1,[]
io_inst_pct,The percentage of the total shares outstanding (TSO) of the security held in aggregate by all institutions Note: For some records pct_held is greater than 100 (error at vendor's end); use with discretion.,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.926,181,383,1.1,[]
io_inst_prev_holding,The number of shares in that institution at the last reported time,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.3832,103,127,1.1,[]
io_inst_prev_mv,The total value of that institution at the last reported time,institutions4,Institutional Ownership Data,institutions,Institutions,institutions-ownership-models,Ownership Models,EUR,1,TOP2500,MATRIX,1,0.3832,115,202,1.1,[]
