id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl135_d01_bb,Bollinger Bands for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,28,32,1.4,[]
mdl135_d01_fmc,Chaikin Money Flow indicator for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,18,24,1.4,[]
mdl135_d01_icc,Commodity Channel Index for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,6,6,1.4,[]
mdl135_d01_if,Force Index for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,16,24,1.4,[]
mdl135_d01_ifm,Money Flow Index for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,6,6,1.4,[]
mdl135_d01_isr,Relative Strength Index for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,15,26,1.4,[]
mdl135_d01_isrs,Sell Relative Strength Index for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,16,22,1.4,[]
mdl135_d01_iv,Vortex indicator for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,7,9,1.4,[]
mdl135_d01_ivn,Negative Volume Index  for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,7,16,1.4,[]
mdl135_d01_lda,Accumulation Distribution Indicator for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,15,16,1.4,[]
mdl135_d01_oa,Awesome Oscillator for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,4,4,1.4,[]
mdl135_d01_os,Stochastic Oscillator for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,5,7,1.4,[]
mdl135_d01_rta,Average True Range for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,4,10,1.4,[]
mdl135_d01_tpv,Volume price trend for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,5,5,1.4,[]
mdl135_d01_vbo,On-balance volume for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,6,7,1.4,[]
mdl135_d01_vme,Ease of Movement for 10 days,model135,Alternative technical factor models,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,VECTOR,1,0.5525,3,3,1.4,[]
