id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
actual_vs_predicted_earnings_surprise_pct_lastq,Percentage difference between actual and predicted earnings for the most recent quarter.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.2627,11,11,1.4,[]
actual_vs_predicted_ebitda_surprise_pct_lastq,Percentage difference between actual and predicted EBITDA for the most recent quarter.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.239,6,6,1.4,[]
analyst_recommendation_score_component,Score component reflecting changes in analyst buy/sell/hold recommendations.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9413,24,30,1.4,[]
analyst_recommendation_upgrades_count_30d,Number of analyst recommendation upgrades over the past 30 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7507,11,13,1.4,[]
analyst_revision_primary_earnings_score,Score component reflecting analyst revisions and surprises in the primary earnings measure.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9554,13,15,1.4,[]
analyst_revision_revenue_score,Score component reflecting analyst revisions and surprises in company revenue.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7402,9,9,1.4,[]
analyst_revision_revenue_score_d1,Score component reflecting analyst revisions and surprises in company revenue (daily version).,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9518,7,7,1.4,[]
analyst_revision_secondary_earnings_score,Score component reflecting analyst revisions and surprises in the secondary earnings measure.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.8834,4,4,1.4,[]
analysts_count_revising_down_quarter1_earnings_7d,Number of analysts who decreased their earnings estimates for the first quarter over 7 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7507,6,6,1.4,[]
analysts_count_revising_down_year1_earnings_14d,Number of analysts who decreased their earnings estimates for the current year over 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7507,5,5,1.4,[]
analysts_count_revising_down_year1_ebitda_14d,Number of analysts who decreased their EBITDA estimates for the current year over 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7507,10,10,1.4,[]
analysts_count_revising_up_quarter2_earnings_30d,Number of analysts who increased their earnings estimates for the second quarter over 30 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7507,3,3,1.4,[]
analysts_count_revising_up_year2_ebitda_14d,Number of analysts who increased their EBITDA estimates for the next year over 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7507,7,7,1.4,[]
avg_change_analyst_recommendation_14d,Average change in analyst recommendations over the past 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7292,5,5,1.4,[]
avg_change_analyst_recommendation_30d,Average change in analyst recommendations over the past 30 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7284,8,8,1.4,[]
avg_change_analyst_recommendation_60d,Average change in analyst recommendations over the past 60 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7268,3,6,1.4,[]
avg_change_analyst_recommendation_7d,Average change in analyst recommendations over the past 7 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7294,9,11,1.4,[]
avg_change_analyst_recommendation_90d,Average change in analyst recommendations over the last 90 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7248,5,6,1.4,[]
avg_estimate_change_pct_f12m_ebitda_7d,Average percentage change in analyst EBITDA estimates for the forward 12 months over 7 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.6897,3,3,1.4,[]
avg_estimate_change_pct_quarter1_ebitda_14d,Average percentage change in analyst EBITDA estimates for the first quarter over 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.227,4,4,1.4,[]
avg_estimate_change_pct_quarter1_revenue_60d,Average percentage change in analyst revenue estimates for the first quarter over 60 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.2709,3,3,1.4,[]
avg_estimate_change_pct_quarter2_ebitda_60d,Average percentage change in analyst EBITDA estimates for the second quarter over 60 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.1752,2,2,1.4,[]
avg_estimate_change_pct_year1_earnings_90d,Average percentage change in analyst earnings estimates for the current year over 90 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7401,17,26,1.4,[]
avg_estimate_change_pct_year1_revenue_90d,Average percentage change in analyst revenue estimates for the current year over 90 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7369,5,6,1.4,[]
avg_pct_change_earnings_est_12m_30d,Average percentage change in earnings estimates for the forward 12 months over the last 30 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7417,5,5,1.4,[]
avg_pct_change_earnings_est_12m_90d,Average percentage change in earnings estimates for the forward 12 months over the last 90 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7378,4,5,1.4,[]
avg_pct_change_earnings_est_qtr_14d,Average percentage change in earnings estimates for the current quarter over the last 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.2646,4,4,1.4,[]
avg_pct_change_earnings_est_qtr_30d,Average percentage change in earnings estimates for the current quarter over the last 30 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.259,3,3,1.4,[]
avg_pct_change_earnings_est_qtr_60d,Average percentage change in earnings estimates for the current quarter over the last 60 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.2527,3,3,1.4,[]
avg_pct_change_earnings_est_year_14d,Average percentage change in earnings estimates for the current fiscal year over the last 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7441,5,5,1.4,[]
avg_pct_change_ebitda_est_12m_14d,Average percentage change in EBITDA estimates for the forward 12 months over the last 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.6891,5,5,1.4,[]
avg_pct_change_ebitda_est_12m_90d,Average percentage change in EBITDA estimates for the forward 12 months over the last 90 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.6822,3,3,1.4,[]
avg_pct_change_ebitda_est_next_qtr_90d,Average percentage change in EBITDA estimates for the next quarter over the last 90 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.1646,2,2,1.4,[]
avg_pct_change_ebitda_est_next_qtr_90d_d1,Average percentage change in EBITDA estimates for the next quarter over the last 90 days (daily version).,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.1646,2,2,1.4,[]
avg_pct_change_estimate_12m_earnings_14d,Average percentage change in analyst earnings estimates for the next 12 months over the past 14 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7424,1,1,1.4,[]
avg_pct_change_estimate_12m_earnings_60d,Average percentage change in analyst earnings estimates for the next 12 months over the past 60 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7401,3,3,1.4,[]
avg_pct_change_estimate_12m_earnings_7d,Average percentage change in analyst earnings estimates for the next 12 months over the past 7 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7427,4,4,1.4,[]
avg_pct_change_estimate_12m_ebitda_30d,Average percentage change in analyst EBITDA estimates for the next 12 months over the past 30 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.6879,3,3,1.4,[]
avg_pct_change_estimate_12m_ebitda_60d,Average percentage change in analyst EBITDA estimates for the next 12 months over the past 60 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.6852,4,5,1.4,[]
avg_pct_change_estimate_12m_revenue_30d,Average percentage change in analyst revenue estimates for the next 12 months over the past 30 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7387,2,2,1.4,[]
avg_pct_change_estimate_12m_revenue_7d,Average percentage change in analyst revenue estimates for the next 12 months over the past 7 days.,model26,Analyst Revisions,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7398,3,3,1.4,[]
