id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl219_1_6351_rp,15-week moving average price divided by 36-week moving average price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9736,44,86,1.4,[]
mdl219_1_actrtn12m,12-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9679,65,111,1.4,[]
mdl219_1_actrtn18m,18-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9606,18,21,1.4,[]
mdl219_1_actrtn1m,1-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9815,27,29,1.4,[]
mdl219_1_actrtn24m,24-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9535,19,29,1.4,[]
mdl219_1_actrtn2m,2-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9807,9,11,1.4,[]
mdl219_1_actrtn36m,36-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9395,18,19,1.4,[]
mdl219_1_actrtn3m,3-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9797,8,10,1.4,[]
mdl219_1_actrtn60m,60-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9085,18,23,1.4,[]
mdl219_1_actrtn6m,6-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9749,9,12,1.4,[]
mdl219_1_actrtn9m,9-month active return representing the percent change in stock price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.972,15,17,1.4,[]
mdl219_1_ags,"SG&A expenses-to-sales ratio calculated as selling, general, and administrative expenses divided by sales.",model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8731,15,20,1.4,[]
mdl219_1_alpha60m,60-month alpha calculated as the intercept of a regression of stock returns against a benchmark.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9096,4,4,1.4,[]
mdl219_1_aoer,Retained earnings-to-total assets ratio calculated as cumulative retained earnings divided by total assets.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9766,6,14,1.4,[]
mdl219_1_aor,Return on assets calculated as net income divided by average total assets.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9795,16,79,1.4,[]
mdl219_1_apemtt,Trailing 12-month EPS after extraordinary items-to-price ratio calculated as EPS divided by price.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9784,30,34,1.4,[]
mdl219_1_aspanratio,Attention span ratio measuring operating assets minus liabilities scaled by total assets.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9075,4,10,1.4,[]
mdl219_1_astcomp,Asset composition ratio representing current assets divided by total assets.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8148,4,6,1.4,[]
mdl219_1_astto,Asset turnover ratio calculated as sales divided by total assets.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9792,8,9,1.4,[]
mdl219_1_beta,"Beta calculated over 60 months, measuring stock volatility relative to the market.",model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9172,12,16,1.4,[]
mdl219_1_betasigma,"Product of beta and sigma, combining volatility and market sensitivity.",model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9093,6,14,1.4,[]
mdl219_1_bmpo,Operating profit margin calculated as operating income divided by sales.,model219,Canadian Equity Quantitative Models,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.972,7,7,1.4,[]
