id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
auditor_switch_indicator_prev_year,Flag indicating if the company changed its audit firm in the previous year.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9088,0,0,1.4,[]
mdl31_acc_chg_1_day,percentile rank that reflects only the Accruals factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9045,8,10,1.4,[]
mdl31_acc_chg_1_fy,percentile rank that reflects only the Accruals factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8573,4,4,1.4,[]
mdl31_acc_chg_1_qtr,percentile rank that reflects only the Accruals factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4017,2,2,1.4,[]
mdl31_acc_prior_qtr,percentile rank that reflects only the Accruals factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.527,1,1,1.4,[]
mdl31_acc_prior_y,percentile rank that reflects only the Accruals factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8708,2,2,1.4,[]
mdl31_ass_tvr_last_qtr,The amount of revenue generated for each unit of assets. Also known as TAT.  Asset Turnover = Net Revenue/Total Assets,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4005,2,2,1.4,[]
mdl31_ass_tvr_last_y,The amount of revenue generated for each unit of assets. Also known as TAT.  Asset Turnover = Net Revenue/Total Assets,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9062,2,2,1.4,[]
mdl31_ass_tvr_prior_qtr,The amount of revenue generated for each unit of assets. Also known as TAT.  Asset Turnover = Net Revenue/Total Assets,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.3794,2,2,1.4,[]
mdl31_ass_tvr_prior_y,The amount of revenue generated for each unit of assets. Also known as TAT.  Asset Turnover = Net Revenue/Total Assets,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9023,0,0,1.4,[]
mdl31_ass_tvr_t4q,The amount of revenue generated for each unit of assets. Also known as TAT.  Asset Turnover = Net Revenue/Total Assets,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.3395,3,3,1.4,[]
mdl31_bv_share_last_qtr,The ratio of the Book Value to the total shares outstanding.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4257,2,2,1.4,[]
mdl31_bv_share_last_y,The ratio of the Book Value to the total shares outstanding.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.908,5,5,1.4,[]
mdl31_bv_share_prior_qtr,The ratio of the Book Value to the total shares outstanding.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4035,1,1,1.4,[]
mdl31_bv_share_prior_y,The ratio of the Book Value to the total shares outstanding.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9059,4,8,1.4,[]
mdl31_cf_chg_1_day,A percentile rank that reflects only the Cash Flow factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8824,6,6,1.4,[]
mdl31_cf_chg_1_fy,A percentile rank that reflects only the Cash Flow factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8324,2,2,1.4,[]
mdl31_cf_chg_1_qtr,A percentile rank that reflects only the Cash Flow factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.3918,5,5,1.4,[]
mdl31_cf_prior_qtr,A percentile rank that reflects only the Cash Flow factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5159,8,8,1.4,[]
mdl31_cf_prior_y,A percentile rank that reflects only the Cash Flow factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.85,22,25,1.4,[]
mdl31_dps_last_qtr,"""All cash dividends declared by the company during the period, on both common and preferred stock. Dividends Per Share is often abbreviated as DPS.""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5762,3,3,1.4,[]
mdl31_dps_last_y,"""All cash dividends declared by the company during the period, on both common and preferred stock. Dividends Per Share is often abbreviated as DPS.""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8399,0,0,1.4,[]
mdl31_dps_t4q,"""All cash dividends declared by the company during the period, on both common and preferred stock. Dividends Per Share is often abbreviated as DPS.""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.3164,0,0,1.4,[]
mdl31_dse_last_qtr,"""The ratio of Long-Term Debt to Total Equity. The higher this ratio, the higher the company's leverage is.""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5491,1,1,1.4,[]
mdl31_dse_last_y,"""The ratio of Long-Term Debt to Total Equity. The higher this ratio, the higher the company's leverage is.""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9081,4,4,1.4,[]
mdl31_dse_prior_qtr,"""The ratio of Long-Term Debt to Total Equity. The higher this ratio, the higher the company's leverage is.""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5375,1,1,1.4,[]
mdl31_dse_prior_y,"""The ratio of Long-Term Debt to Total Equity. The higher this ratio, the higher the company's leverage is.""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9061,0,0,1.4,[]
mdl31_dty_mm_fcf,"""Free Cash Flow. The cash generated (used) from operations after subtracting Capital Expenditures, which are investments made back into the business to support operations. FCF = CFO - Capex. Unit: million""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5397,8,8,1.4,[]
mdl31_dy_pct_current,currunt dividends per share percentage,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8403,14,17,1.4,[]
mdl31_erq_raw_prior_qtr,The Earnings Quality Region Rank before beta neutralization. Scores of 100 indicate the highest rated stocks in the country; scores of 1 indicate the lowest rated stocks in the country.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5269,1,1,1.4,[]
mdl31_erq_re_rk_chg_1_day,A percentile rank based on the Earnings Quality Model algorithm in which a security is compared to all other securities trading in the same region. Scores of 100 indicate the highest rated stocks in the region; scores of 1 indicate the lowest rated stocks in the region.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9045,6,9,1.4,[]
mdl31_erq_re_rk_chg_1_fy,A percentile rank based on the Earnings Quality Model algorithm in which a security is compared to all other securities trading in the same region. Scores of 100 indicate the highest rated stocks in the region; scores of 1 indicate the lowest rated stocks in the region.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8575,0,0,1.4,[]
mdl31_erq_re_rk_chg_1_qtr,A percentile rank based on the Earnings Quality Model algorithm in which a security is compared to all other securities trading in the same region. Scores of 100 indicate the highest rated stocks in the region; scores of 1 indicate the lowest rated stocks in the region.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4015,5,7,1.4,[]
mdl31_erq_re_rk_prior_qtr,A percentile rank based on the Earnings Quality Model algorithm in which a security is compared to all other securities trading in the same region. Scores of 100 indicate the highest rated stocks in the region; scores of 1 indicate the lowest rated stocks in the region.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5269,2,2,1.4,[]
mdl31_erq_re_rk_prior_y,A percentile rank based on the Earnings Quality Model algorithm in which a security is compared to all other securities trading in the same region. Scores of 100 indicate the highest rated stocks in the region; scores of 1 indicate the lowest rated stocks in the region.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8713,12,12,1.4,[]
mdl31_fcf_mm_last_qtr,"""Free Cash Flow. The cash generated (used) from operations after subtracting Capital Expenditures, which are investments made back into the business to support operations. FCF = CFO - Capex. Unit: million""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.3847,9,10,1.4,[]
mdl31_fcf_mm_last_y,"""Free Cash Flow. The cash generated (used) from operations after subtracting Capital Expenditures, which are investments made back into the business to support operations. FCF = CFO - Capex. Unit: million""",model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9074,7,7,1.4,[]
mdl31_gm_pct_last_qtr,Last quarter gross margin,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.3956,1,1,1.4,[]
mdl31_gm_pct_last_y,Last year  gross margin,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8222,3,4,1.4,[]
mdl31_gm_pct_prior_qtr,Prior quarter  gross margin,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.3731,0,0,1.4,[]
mdl31_gm_pct_prior_y,Prior year  gross margin,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8209,0,0,1.4,[]
mdl31_gm_pct_t4q,Trailing 4 quarter  gross margin,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.3087,2,2,1.4,[]
mdl31_gva,average value,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.593,7,8,1.4,[]
mdl31_oe_chg_1_day,percentile rank that reflects only the Operating Efficiency factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9025,2,2,1.4,[]
mdl31_oe_chg_1_fy,percentile rank that reflects only the Operating Efficiency factors of the Earnings Quality Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model31,Earnings Quality Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8539,2,11,1.4,[]
