id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl25_01v,Earnings Quality by Accruals - Period End Date,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9813,149,526,1.4,[]
mdl25_05v,Diluted EPS from Total Ops - 1 Qtr Difference (%),model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.4011,14,14,1.4,[]
mdl25_15v,Pension Expense - Last Year,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7073,23,33,1.4,[]
mdl25_21v,Earnings Quality by Cash Flow,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9339,294,851,1.4,[]
mdl25_22v,Raw Earnings Quality,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9802,97,146,1.4,[]
mdl25_31v,Earnings Quality by Cash Flow - 1 Day Difference,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.7212,47,213,1.4,[]
mdl25_34v,Diluted EPS from Continuing Ops - Last Qtr,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.4757,14,16,1.4,[]
mdl25_41v,Earnings Quality by Cash Flow - Period End Date,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9548,55,152,1.4,[]
mdl25_44v,Diluted EPS from Continuing Ops - 1 Qtr Difference,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.4009,7,14,1.4,[]
mdl25_54v,Diluted EPS from Continuing Ops - 1 Qtr Difference (%),model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.4009,17,27,1.4,[]
mdl25_61v,Earnings Quality by Operating Efficiency,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9752,43,208,1.4,[]
mdl25_64v,Diluted EPS from Disc Ops & XO - Last Qtr,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.4753,6,7,1.4,[]
mdl25_6v,Earnings Quality Region Rank,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.9802,84,199,1.4,[]
mdl25_71v,Earnings Quality by Operating Efficiency - 1 Day Difference,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.8953,25,45,1.4,[]
mdl25_73v,Basic EPS from Total Ops - Last Qtr,model25,Earnings Quality,model,Model,model-revisions-models,Revisions Models,EUR,1,TOP2500,MATRIX,1,0.4794,13,16,1.4,[]
