id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
d1_fq1_period_end_date,Period end date for first fiscal quarter in d1 module.,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,SYMBOL,1,0.9452,4,5,1.4,[]
d1_fq2_period_end_date,Period end date for second fiscal quarter in d1 module.,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,SYMBOL,1,0.945,5,8,1.4,[]
d1_fy1_period_end_date,Period end date for first fiscal year in d1 module.,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,SYMBOL,1,0.9599,1,3,1.4,[]
d1_fy2_period_end_date,Period end date for second fiscal year in d1 module.,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,SYMBOL,1,0.9598,1,2,1.4,[]
is_parent_company_flag,Flag indicating whether the security is a parent company.,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,0,0,1.4,[]
mdl30_new_numnly_fq1_eps,Number of SmartEstimate Analysts FQ1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.4168,6,6,1.4,[]
mdl30_new_numnly_fq2_eps,Number of SmartEstimate Analysts FQ2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.3689,4,4,1.4,[]
mdl30_new_numnly_fy1_eps,Number of SmartEstimate Analysts FY1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,1,13,35,1.4,[]
mdl30_new_numnly_fy2_eps,Number of SmartEstimate Analysts FY2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,1,12,18,1.4,[]
mdl30_new_psprise_pct_f12m_eps,Predicted Surprise % F12M EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.99,41,99,1.4,[]
mdl30_new_psprise_pct_fq1_eps,Predicted Surprise % FQ1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.4178,1,1,1.4,[]
mdl30_new_psprise_pct_fq2_eps,Predicted Surprise % FQ2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.3711,4,4,1.4,[]
mdl30_new_psprise_pct_fy1_eps,Predicted Surprise % FY1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9899,53,124,1.4,[]
mdl30_new_psprise_pct_fy2_eps,Predicted Surprise % FY2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9893,20,55,1.4,[]
mdl30_new_smartestimate_f12m_eps,SmartEstimate F12M EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,1,45,178,1.4,[]
mdl30_new_smartestimate_fq1_eps,SmartEstimate FQ1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.4168,8,8,1.4,[]
mdl30_new_smartestimate_fq2_eps,SmartEstimate FQ2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.3689,2,2,1.4,[]
mdl30_new_smartestimate_fy1_eps,SmartEstimate FY1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,1,31,52,1.4,[]
mdl30_new_smartestimate_fy2_eps,SmartEstimate FY2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,1,27,34,1.4,[]
mdl30_numnly_fq1_eps,Number of SmartEstimate Analysts FQ1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,13,15,1.4,[]
mdl30_numnly_fq2_eps,Number of SmartEstimate Analysts FQ2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,8,9,1.4,[]
mdl30_numnly_fy1_eps,Number of SmartEstimate Analysts FY1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,8,8,1.4,[]
mdl30_numnly_fy2_eps,Number of SmartEstimate Analysts FY2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,7,8,1.4,[]
mdl30_parent_flag_d1,Parent Flag,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9608,0,0,1.4,[]
mdl30_psprise_pct_f12m_eps,Predicted Surprise % F12M EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7328,40,74,1.4,[]
mdl30_psprise_pct_fq1_eps,Predicted Surprise % FQ1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.2694,4,4,1.4,[]
mdl30_psprise_pct_fq2_eps,Predicted Surprise % FQ2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.2418,0,0,1.4,[]
mdl30_psprise_pct_fy1_eps,Predicted Surprise % FY1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7355,49,87,1.4,[]
mdl30_psprise_pct_fy2_eps,Predicted Surprise % FY2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.735,11,12,1.4,[]
mdl30_smartestimate_f12m_eps,SmartEstimate F12M EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7328,24,25,1.4,[]
mdl30_smartestimate_fq1_eps,SmartEstimate FQ1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.2694,9,16,1.4,[]
mdl30_smartestimate_fq2_eps,SmartEstimate FQ2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.2418,2,2,1.4,[]
mdl30_smartestimate_fy1_eps,SmartEstimate FY1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7355,31,40,1.4,[]
mdl30_smartestimate_fy2_eps,SmartEstimate FY2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.735,18,27,1.4,[]
parent_company_indicator,Indicator showing if the security is a parent company.,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,0,0,1.4,[]
star_eps_analyst_number_fq1,Number of SmartEstimate Analysts FQ1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.4162,8,10,1.4,[]
star_eps_analyst_number_fq1_d1,Number of SmartEstimate Analysts FQ1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9607,0,0,1.4,[]
star_eps_analyst_number_fq2,Number of SmartEstimate Analysts FQ2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.3732,11,14,1.4,[]
star_eps_analyst_number_fq2_d1,Number of SmartEstimate Analysts FQ2 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9607,0,0,1.4,[]
star_eps_analyst_number_fy1,Number of SmartEstimate Analysts FY1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,1,10,11,1.4,[]
star_eps_analyst_number_fy1_d1,Number of SmartEstimate Analysts FY1 EPS,model30,EPS Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9607,0,0,1.4,[]
