id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
analyst_revision_rank_derivative,Change in ranking for analyst revisions and momentum compared to previous period.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,1,14,15,1.4,[]
cashflow_efficiency_rank_derivative,Change in ranking for cash flow generation and profitability compared to previous period.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,1,6,6,1.4,[]
composite_factor_score_derivative,Change in overall composite factor score from the prior period.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,1,5,5,1.4,[]
earnings_certainty_rank_derivative,Change in ranking for earnings sustainability and certainty compared to previous period.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,1,5,10,1.4,[]
fscore_bfl_growth,The purpose of this metric is to qualify the expected MT growth potential of the stock.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4563,1,1,1.4,[]
fscore_bfl_momentum,The purpose of this metric is to identify stocks which are currently undergoing either up or downward analyst revisions.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4561,2,2,1.4,[]
fscore_bfl_profitability,The purpose of this metric is to rank stock based on their ability to generate cash flows.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4554,2,2,1.4,[]
fscore_bfl_quality,The purpose of this metric is to measure both the sustainability and certainty of earnings.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4571,1,1,1.4,[]
fscore_bfl_surface,"The static score. An index between 0 & 100 is applied for each stock and each composite factor - The first ranking is a pentagon surface-based score. The larger the surface, the higher the rank.",model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4536,1,1,1.4,[]
fscore_bfl_surface_accel,"The derivative score. In a second step, we calculate the derivative of this score (ie: Is the surface of the pentagon increasing or decreasing from the previous month?).",model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4499,2,2,1.4,[]
fscore_bfl_total,The final score M-Score is a weighted average of both the Pentagon surface score and the Pentagon acceleration score.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4499,1,1,1.4,[]
fscore_bfl_value,The purpose of this metric is to see if the stock is under or overpriced given several well known valuation standards.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4568,7,7,1.4,[]
fscore_growth,The purpose of this metric is to qualify the expected MT growth potential of the stock.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4525,5,5,1.4,[]
fscore_momentum,The purpose of this metric is to identify stocks which are currently undergoing either up or downward analyst revisions.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4522,4,4,1.4,[]
fscore_profitability,The purpose of this metric is to rank stock based on their ability to generate cash flows.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4516,3,3,1.4,[]
fscore_quality,The purpose of this metric is to measure both the sustainability and certainty of earnings.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4533,3,3,1.4,[]
fscore_surface,"The static score. An index between 0 & 100 is applied for each stock and each composite factor - The first ranking is a pentagon surface-based score. The larger the surface, the higher the rank.",model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4496,2,2,1.4,[]
fscore_surface_accel,"The derivative score. In a second step, we calculate the derivative of this score (ie: Is the surface of the pentagon increasing or decreasing from the previous month?).",model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4459,1,1,1.4,[]
fscore_total,The final score M-Score is a weighted average of both the Pentagon surface score and the Pentagon acceleration score.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.4459,3,3,1.4,[]
fscore_value,The purpose of this metric is to see if the stock is under or overpriced given several well known valuation standards.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.453,5,5,1.4,[]
growth_potential_rank_derivative,Change in ranking for medium-term growth potential compared to previous period.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,1,2,2,1.4,[]
multi_factor_acceleration_score_derivative,Change in the acceleration of multi-factor score compared to previous period.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,1,3,3,1.4,[]
multi_factor_static_score_derivative,Change in static multi-factor score compared to previous period.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,1,4,4,1.4,[]
relative_valuation_rank_derivative,Change in ranking for valuation metrics compared to previous period.,model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,1,3,3,1.4,[]
