id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
credit_risk_coverage_score_d1,Percentile score reflecting coverage factors in credit risk assessment (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9373,1,1,1.4,[]
credit_risk_coverage_score_main,Percentile score reflecting coverage factors in credit risk assessment (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7612,0,0,1.4,[]
credit_risk_growth_score_d1,Percentile score reflecting growth and stability factors in credit risk (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9379,2,3,1.4,[]
credit_risk_growth_score_main,Percentile score reflecting growth and stability factors in credit risk (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7609,0,0,1.4,[]
credit_risk_leverage_score_d1,Percentile score reflecting leverage factors in credit risk assessment (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,1,1,1.4,[]
credit_risk_leverage_score_main,Percentile score reflecting leverage factors in credit risk assessment (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,0,0,1.4,[]
credit_risk_liquidity_score_d1,Percentile score reflecting liquidity factors in credit risk assessment (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9385,1,6,1.4,[]
credit_risk_liquidity_score_main,Percentile score reflecting liquidity factors in credit risk assessment (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7625,0,0,1.4,[]
credit_risk_profitability_score_d1,Percentile score reflecting profitability factors in credit risk assessment (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,1,1,1.4,[]
credit_risk_profitability_score_main,Percentile score reflecting profitability factors in credit risk assessment (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,0,0,1.4,[]
creditworthiness_letter_rating_numeric_d1,Numeric representation of the company's credit rating based on financial analysis (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,0,0,1.4,[]
creditworthiness_letter_rating_numeric_main,Numeric representation of the company's credit rating based on financial analysis (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,0,0,1.4,[]
default_risk_country_percentile_d1_2,Percentile rank of default risk among companies in the same country (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,1,1,1.4,[]
default_risk_country_percentile_main,Percentile rank of default risk among companies in the same country (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,0,0,1.4,[]
default_risk_global_percentile_d1_2,Percentile rank of default risk compared to all companies worldwide (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,0,0,1.4,[]
default_risk_global_percentile_main,Percentile rank of default risk compared to all companies worldwide (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,0,0,1.4,[]
default_risk_industry_percentile_d1_2,Percentile rank of default risk among companies in the same industry (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9345,2,2,1.4,[]
default_risk_industry_percentile_main,Percentile rank of default risk among companies in the same industry (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7589,0,0,1.4,[]
default_risk_region_percentile_d1_2,Percentile rank of default risk within the company's geographic region (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,0,0,1.4,[]
default_risk_region_percentile_main,Percentile rank of default risk within the company's geographic region (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,1,1,1.4,[]
default_risk_sector_percentile_d1_2,Percentile rank of default risk among companies in the same sector (daily version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9393,0,0,1.4,[]
default_risk_sector_percentile_main,Percentile rank of default risk among companies in the same sector (main version).,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7632,0,0,1.4,[]
mdl36_index_rating,Financial health rating,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.8364,11,15,1.4,[]
star_sr_country_rank,"The current 1-100 percentile rank, by country, of a company's 1-year default probability based on the SmartRatios Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,10,12,1.4,[]
star_sr_country_rank_d1,"The current 1-100 percentile rank, by country, of a company's 1-year default probability based on the SmartRatios Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,0,0,1.4,[]
star_sr_coverage,A percentile rank that reflects only the coverage factors of the SmartRatios Credit Risk Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7612,8,9,1.4,[]
star_sr_coverage_d1,A percentile rank that reflects only the coverage factors of the SmartRatios Credit Risk Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9373,1,1,1.4,[]
star_sr_global_rank,"The current global 1-100 percentile rank of a company's 1- year default probability based on the SmartRatios Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,5,5,1.4,[]
star_sr_global_rank_d1,"The current global 1-100 percentile rank of a company's 1- year default probability based on the SmartRatios Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,0,0,1.4,[]
star_sr_growth,"A percentile rank that reflects only the growth and stability factors of the SmartRatios Credit Risk Model. Scores of
100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7609,4,4,1.4,[]
star_sr_growth_d1,"A percentile rank that reflects only the growth and stability factors of the SmartRatios Credit Risk Model. Scores of
100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9379,0,0,1.4,[]
star_sr_industr_rank,"The current 1-100 percentile rank, among other firms in the same region and industry, of a company's 1-year default probability based on the SmartRatios Credit Risk Model.
Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7589,4,4,1.4,[]
star_sr_industr_rank_d1,"The current 1-100 percentile rank, among other firms in the same region and industry, of a company's 1-year default probability based on the SmartRatios Credit Risk Model.
Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9345,0,0,1.4,[]
star_sr_leverage,A percentile rank that reflects only the leverage factors of the SmartRatios Credit Risk Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,5,5,1.4,[]
star_sr_leverage_d1,A percentile rank that reflects only the leverage factors of the SmartRatios Credit Risk Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,1,1,1.4,[]
star_sr_liquidity,"A percentile rank that reflects only the liquidity factors of the SmartRatios Credit Risk Model. Scores of 100 indicate
the highest rated stocks; scores of 1 indicate the lowest rated stocks.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7625,6,7,1.4,[]
star_sr_liquidity_d1,"A percentile rank that reflects only the liquidity factors of the SmartRatios Credit Risk Model. Scores of 100 indicate
the highest rated stocks; scores of 1 indicate the lowest rated stocks.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9385,1,1,1.4,[]
star_sr_profitability,A percentile rank that reflects only the profitability factors of the SmartRatios Credit Risk Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,9,11,1.4,[]
star_sr_profitability_d1,A percentile rank that reflects only the profitability factors of the SmartRatios Credit Risk Model. Scores of 100 indicate the highest rated stocks; scores of 1 indicate the lowest rated stocks.,model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,0,0,1.4,[]
star_sr_region_rank,"The current regional 1-100 percentile rank of a company's 1-year default probability based on the SmartRatios Credit Risk Model. Higher scores indicate companies that are
less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7645,4,4,1.4,[]
star_sr_region_rank_d1,"The current regional 1-100 percentile rank of a company's 1-year default probability based on the SmartRatios Credit Risk Model. Higher scores indicate companies that are
less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9412,0,0,1.4,[]
star_sr_sector_rank,"The current 1-100 percentile rank, among other firms in the same region and industrial sector, of a company's 1-year default probability based on the SmartRatios Credit Risk Model. Higher scores indicate companies that are less
likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7632,11,12,1.4,[]
star_sr_sector_rank_d1,"The current 1-100 percentile rank, among other firms in the same region and industrial sector, of a company's 1-year default probability based on the SmartRatios Credit Risk Model. Higher scores indicate companies that are less
likely to go bankrupt, or default on their debt obligations, within the next 1-year period.",model36,SmartRatios Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9393,0,0,1.4,[]
