id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl138_3idpc,Composite of all PDI3_XYZ Factors based on Point-in-Time Risk Parity Weighting,model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,178,261,1.4,[]
mdl138_3idpqc,Composite of all QPDI3_XYZ Factors by first equal-weighting factors within the same cluster and then weighting the seven clusters using PIT Risk Parity (see the original report for more details),model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,90,126,1.4,[]
mdl138_4idpc,Composite of all PDI4_XYZ Factors based on Point-in-Time Risk Parity Weighting,model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,243,504,1.4,[]
mdl138_4idpqc,Composite of all QPDI4_XYZ Factors by first equal-weighting factors within the same cluster and then weighting the seven clusters using PIT Risk Parity (see the original report for more details),model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,115,206,1.4,[]
mdl138_5idpc,Composite of all PDI5_XYZ Factors based on Point-in-Time Risk Parity Weighting,model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,110,161,1.4,[]
mdl138_5idpqc,Composite of all QPDI5_XYZ Factors by first equal-weighting factors within the same cluster and then weighting the seven clusters using PIT Risk Parity (see the original report for more details),model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,145,250,1.4,[]
mdl138_aor_3idpq,QPDI-3 Factor based on Return on Assets,model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,13,15,1.4,[]
mdl138_aor_4idpq,QPDI-4 Factor based on Return on Assets,model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,19,24,1.4,[]
mdl138_aor_5idpq,QPDI-5 Factor based on Return on Assets,model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,12,12,1.4,[]
mdl138_dtl_3idp,PDI-3 Factor based on Long-term Debt,model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,42,91,1.4,[]
mdl138_dtl_4idp,PDI-4 Factor based on Long-term Debt,model138,Stock Selection from Accounting-based Factors,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.5537,19,23,1.4,[]
