id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
annualized_asset_drift_pct,Annualized rate of change in asset value used in default modeling.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7604,2,2,1.4,[]
annualized_asset_volatility_pct,Annualized volatility of asset value used in default modeling.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7603,0,0,1.4,[]
asset_drift_rate_pct,Annualized rate of change in asset value used in default modeling (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7605,6,8,1.4,[]
asset_volatility_annualized_pct,Annualized volatility of asset value used in default modeling (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7604,2,2,1.4,[]
country_default_risk_percentile,Percentile rank of default likelihood within the same country.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.76,0,0,1.4,[]
country_default_risk_percentile_float,Percentile rank of default likelihood within the same country (float version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,1,1,1.4,[]
country_default_risk_percentile_v1,Percentile rank of default likelihood within the same country (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,0,0,1.4,[]
default_probability_one_year_pct,"Estimated probability of default over the next year, expressed as a percent (original version).",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,2,3,1.4,[]
default_risk_country_percentile_d1,Percentile rank of default likelihood within the same country (d1 version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,1,1,1.4,[]
default_risk_global_percentile_d1,Percentile rank of default likelihood compared to all companies worldwide (d1 version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,1,1,1.4,[]
default_risk_global_percentile_v1,Percentile rank of default likelihood compared to all companies worldwide (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,0,0,1.4,[]
default_risk_industry_percentile_d1,Percentile rank of default likelihood within the same industry group (d1 version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9243,0,0,1.4,[]
default_risk_region_percentile_d1,Percentile rank of default likelihood within the same geographic region (d1 version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,1,1,1.4,[]
default_risk_sector_percentile_d1,Percentile rank of default likelihood within the same economic sector (d1 version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9291,2,2,1.4,[]
default_threshold_to_asset_ratio,Ratio comparing the default threshold to total asset value (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7646,2,2,1.4,[]
distance_to_default_standard_deviation,Number of standard deviations between asset value and default threshold (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,1,1,1.4,[]
distance_to_default_stddev,Number of standard deviations between asset value and default threshold.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.76,3,3,1.4,[]
global_default_risk_percentile,Percentile rank of default likelihood compared to all companies globally.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.76,3,3,1.4,[]
global_default_risk_percentile_v1,Percentile rank of default likelihood compared to all companies globally (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,1,1,1.4,[]
industry_default_risk_percentile,Percentile rank of default likelihood within the same industry.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7547,6,7,1.4,[]
industry_default_risk_percentile_float,Percentile rank of default likelihood within the same industry (float version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7548,0,0,1.4,[]
industry_default_risk_percentile_v1,Percentile rank of default likelihood within the same industry (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7548,2,2,1.4,[]
leverage_ratio_to_assets,Ratio comparing the default threshold to total asset value.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7646,2,2,1.4,[]
model_based_letter_grade_d1,Agency-style rating derived from model-estimated default probability (d1 version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,1,1,1.4,[]
model_based_letter_grade_v1,Agency-style rating derived from model-estimated default probability (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,0,0,1.4,[]
one_year_default_probability_pct,"Estimated probability of default over the next year, expressed as a percent.",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.76,2,2,1.4,[]
region_default_risk_percentile,Percentile rank of default likelihood within the same region.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.76,6,8,1.4,[]
region_default_risk_percentile_float,Percentile rank of default likelihood within the same region (float version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,2,2,1.4,[]
region_default_risk_percentile_v1,Percentile rank of default likelihood within the same region (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7601,0,0,1.4,[]
sector_default_risk_percentile,Percentile rank of default likelihood within the same sector.,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.759,3,3,1.4,[]
sector_default_risk_percentile_float,Percentile rank of default likelihood within the same sector (float version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7591,2,2,1.4,[]
sector_default_risk_percentile_v1,Percentile rank of default likelihood within the same sector (original version).,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7591,0,0,1.4,[]
star_cr_asset_drift_pct,1-100 rank of the annualized rate of change of the market value of the firm’s assets,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9308,36,135,1.4,[]
star_cr_asset_volatility_pct,annualized volatility of the market value of the firm’s assets,model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9308,10,13,1.4,[]
star_cr_country_rank,"""The current 1-100 percentile rank, by country, of a company's 1.year default probability based on the Structural Component of the Thomson Reuters StarMine Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1.year period."",,,",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,16,35,1.4,[]
star_cr_dist_to_default,"Number of standard deviations difference between the market value of the firm's assets and its estimated default point.,,,",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,13,15,1.4,[]
star_cr_global_rank,"""The current global 1-100 percentile rank of a company's 1-year default probability based on the Structural Component of the Thomson Reuters StarMine Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period."",,,",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,14,32,1.4,[]
star_cr_implied_rating,"Agency.equivalent credit rating implied by the current estimated forward 1.year SCR default probability.,,,",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9696,12,13,1.4,[]
star_cr_industry_rank,"""The current 1-100 percentile rank, among other firms in the same region and industry, of a company's 1.year default probability based on the Structural Component of the Thomson Reuters StarMine Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1.year period."",,,",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9243,4,6,1.4,[]
star_cr_leverage,"The current 1-100 percentile rank, among other firms in the same region and industry, of a company's 1.year default probability",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9406,14,21,1.4,[]
star_cr_pd_pct,"A percentage that indicates the probability,that the company will go bankrupt, or default on its debt obligations,
over the next 1-year period",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,5,5,1.4,[]
star_cr_region_rank,"""The current 1-100 percentile rank, among other firms in the same region, of a company's 1.year default probability based on the Structural Component of the Thomson Reuters StarMine Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1.year period."",,,",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9305,9,12,1.4,[]
star_cr_sector_rank,"""The current 1-100 percentile rank, among other firms in the same region and industrial sector, of a company's 1.year default probability based on the Structural Component of the Thomson Reuters StarMine Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1.year period."",,,",model28,Structural Credit Risk Model,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.9291,7,11,1.4,[]
