id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
global_price_momentum_percentile_2,Percentile rank of price momentum compared to the global universe.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7671,9,17,1.4,[]
global_value_momentum_rank,Global-relative ranking of a security's value-momentum score.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7769,34,53,1.4,[]
global_value_momentum_rank_float,Precise global-relative value-momentum ranking as a floating-point value.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7769,24,30,1.4,[]
industry_price_momentum_score_2,Score for price momentum relative to the security's industry group.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7819,10,12,1.4,[]
industry_value_momentum_rank,Industry-relative ranking of a security's value-momentum score.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7682,43,72,1.4,[]
industry_value_momentum_rank_float,Precise industry-relative value-momentum ranking as a floating-point value.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7682,31,41,1.4,[]
long_term_price_momentum_score_2,"Score for price momentum over a long-term period, such as 12 months.",model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7673,7,9,1.4,[]
mdl39_d1_price_mo_global_rank,Global-relative 1-100 ranking of the Price Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8316,13,37,1.4,[]
mdl39_d1_price_mo_industry_component,Global 1-100 ranking of the Industry Price Momentum Component of the Price Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8567,30,52,1.4,[]
mdl39_d1_price_mo_long_term_component,Global 1-100 ranking of the Long-Term Price Momentum Component of the Price Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8318,6,10,1.4,[]
mdl39_d1_price_mo_mid_term_component,Global 1-100 ranking of the Mid-Term Price Momentum Component of the Price Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8477,17,19,1.4,[]
mdl39_d1_price_mo_region_rank,Region-relative 1-100 ranking of the Price Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8316,7,9,1.4,[]
mdl39_d1_price_mo_short_term_component,Global 1-100 ranking of the Short-Term Price Momentum Component of the Price Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8517,25,38,1.4,[]
mdl39_d1_val_mo_global_rank,Global-relative 1-100 ranking of the Val-Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8543,92,172,1.4,[]
mdl39_d1_val_mo_industry_rank,Industry-relative 1-100 ranking of the Val-Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8473,131,284,1.4,[]
mdl39_d1_val_mo_region_rank,Region-relative 1-100 ranking of the Val-Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8543,51,74,1.4,[]
mdl39_d1_val_mo_sector_rank,Sector-relative 1-100 ranking of the Val-Mo model,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,,0.8543,81,178,1.4,[]
mid_term_price_momentum_score_2,"Score for price momentum over a medium-term period, such as 6 months.",model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7813,13,18,1.4,[]
region_value_momentum_rank,Region-relative ranking of a security's value-momentum score.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7769,16,35,1.4,[]
region_value_momentum_rank_float,Precise region-relative value-momentum ranking as a floating-point value.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7769,13,19,1.4,[]
regional_price_momentum_percentile_2,Percentile rank of price momentum within the security's region.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7671,4,5,1.4,[]
sector_value_momentum_rank,Sector-relative ranking of a security's value-momentum score.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7769,45,64,1.4,[]
sector_value_momentum_rank_float,Precise sector-relative value-momentum ranking as a floating-point value.,model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7769,34,57,1.4,[]
short_term_price_momentum_score_2,"Score for price momentum over a short-term period, such as 3 months or 1 week.",model39,Valuation Momentum Data,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7825,21,39,1.4,[]
