id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mws52_chars_in_presentation,Number of chars in presentation,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,3,3,1.5,[]
mws52_chars_in_qa,Number of chars in Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,1,1,1.5,[]
mws52_conference_call_participants,Number of conference call participants,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,1,1,1.5,[]
mws52_corporate_participants,Number of corporate participants,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,2,2,1.5,[]
mws52_eventtype,Type of conference call event,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,2,2,1.5,[]
mws52_expirationtime,Expiration time of the event,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,0,0,1.5,[]
mws52_lastuptime,Last update time,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,3,4,1.5,[]
mws52_occurence,Occurence of keywords in presentation and Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3846,0,0,1.5,[]
mws52_occurence_presentation,Occurence of keywords in presentation,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3846,1,1,1.5,[]
mws52_occurence_qa,Occurence of keywords in Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3846,0,0,1.5,[]
mws52_paragraphs_in_presentation,Number of paragraph in presentation,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,1,1,1.5,[]
mws52_position,Position of keywords in presentation and Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3827,0,0,1.5,[]
mws52_position_presentation,Position of keywords in presentation,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3827,1,1,1.5,[]
mws52_position_qa,Position of keywords in Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3827,1,1,1.5,[]
mws52_pparagraphs_in_qa,Number of paragraph in Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,0,0,1.5,[]
mws52_questions_in_presentation,Number of questions in presentation,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,0,0,1.5,[]
mws52_questions_in_qa,Number of questions in Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,0,0,1.5,[]
mws52_sentences_in_presentation,Number of sentences in presentation,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,1,1,1.5,[]
mws52_sentences_in_qa,Number of sentences in Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,1,1,1.5,[]
mws52_starttime,Start time of the event,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,5,5,1.5,[]
mws52_talks_in_presentation,Number of talks in presentation,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,0,0,1.5,[]
mws52_talks_in_qa,Number of talks in Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,1,1,1.5,[]
mws52_words_in_presentation,Number of words in presentation,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,0,0,1.5,[]
mws52_words_in_qa,Number of words in Q&A,news52,Conference call data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4985,1,1,1.5,[]
