id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
nws3_scores_certaintynormscr,Certainity score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,13,20,1.5,[]
nws3_scores_certaintypartnormscr,Certainity partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,4,4,1.5,[]
nws3_scores_fearnormscr,Fear score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,15,19,1.5,[]
nws3_scores_fearpartnormscr,Fear partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,5,5,1.5,[]
nws3_scores_findownnormscr,Financial down score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,8,8,1.5,[]
nws3_scores_findownpartnormscr,Financial down partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,5,5,1.5,[]
nws3_scores_finhypenormscr,Financial hype score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,3,4,1.5,[]
nws3_scores_finhypepartnormscr,Financial hype partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,2,2,1.5,[]
nws3_scores_finupnormscr,Financial up score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,5,5,1.5,[]
nws3_scores_finuppartnormscr,Financial up partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,4,4,1.5,[]
nws3_scores_finvolatilenormscr,Financial volatility score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,4,16,1.5,[]
nws3_scores_finvolatilepartnormscr,Financial volatility partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,2,2,1.5,[]
nws3_scores_negnormscr,Negativity score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,5,5,1.5,[]
nws3_scores_negpartnormscr,Negativity partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,4,4,1.5,[]
nws3_scores_posnormscr,Positivity score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,17,21,1.5,[]
nws3_scores_pospartnormscr,Positivity partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,4,4,1.5,[]
nws3_scores_uncertaintynormscr,Uncertainity score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,4,4,1.5,[]
nws3_scores_uncertaintypartnormscr,Uncertainity partial score,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,3,7,1.5,[]
nws3_wqreceivetime,received time,news3,Dow Jones News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7891,6,7,1.5,[]
