id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
earning_broker_count,Number of brokers contributing to the earnings consensus for the event.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,1,1,1.5,[]
earning_calendar_quarter_end,The end date of the calendar quarter associated with the earnings event.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
earning_event_type_label,"Descriptive label for the type of earnings event (e.g., actual, estimate).",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,1,1,1.5,[]
earning_fiscal_quarter_number,"The fiscal quarter number (e.g., 1, 2, 3, 4) for the earnings event.",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
earning_fiscal_year,The fiscal year for which the earnings event is reported.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
earning_fiscal_year_end,The fiscal year end date associated with the earnings event.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
earning_number_value,"The reported or estimated earnings number (e.g., EPS) for the event.",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
earning_time_type,"Classification of the time associated with the earnings event (e.g., before open, after close).",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,1,1,1.5,[]
estimated_next_shareholder_meeting_date,"Estimated date for the next annual shareholder meeting, if not yet confirmed.",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.7078,3,3,1.5,[]
event_category_label_1,The classification or type of the event (version 1).,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.4169,3,4,1.5,[]
event_end_date_is_estimated,Boolean flag indicating if the event end date is an estimate.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
event_end_date_type,"Type or classification of the event's end date (e.g., actual, estimated).",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,1,1,1.5,[]
event_end_time,The time of day when the event or reporting period ends.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
event_fiscal_year,The fiscal year associated with the earnings event.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,1,1,1.5,[]
event_frequency_label,"Label or code indicating the frequency of the event (e.g., annual, quarterly, ad hoc).",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4146,3,3,1.5,[]
event_quarter_label,"Label or code indicating the quarter associated with the event (e.g., Q1, Q2).",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
event_start_date_is_estimated,Boolean flag indicating if the event start date is an estimate.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
event_start_date_type,"Type or classification of the event's start date (e.g., actual, estimated).",news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,0,0,1.5,[]
event_start_time_2,The time of day when the event or reporting period begins.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6194,3,3,1.5,[]
event_transcript_negative_score,A numeric value representing the degree of negative sentiment in an event transcript.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,3,3,1.5,[]
event_transcript_negative_word_count,The count of negative words identified in an event transcript.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,1,1,1.5,[]
event_transcript_positive_score,A numeric value representing the degree of positive sentiment in an event transcript.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,4,4,1.5,[]
event_transcript_positive_word_count,The count of positive words identified in an event transcript.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,1,2,1.5,[]
event_transcript_sentiment_score,A composite score reflecting the overall sentiment of an event transcript.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,0,0,1.5,[]
event_transcript_total_word_count,The total number of words or tokens in an event transcript.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,1,1,1.5,[]
negative_sentiment_score_1,A numerical score representing the negative sentiment in the transcript (version 1).,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.4169,5,5,1.5,[]
negative_word_count_1,The number of negative words or phrases detected in the transcript (version 1).,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.4169,0,0,1.5,[]
next_corporate_presentation_date,The scheduled date of the next corporate presentation event.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.1616,1,1,1.5,[]
next_earnings_call_date,The scheduled date of the next earnings conference call event.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5413,3,3,1.5,[]
next_earnings_estimate_date,The scheduled date for the next estimated earnings release.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.54,2,2,1.5,[]
next_ex_dividend_event_date,The scheduled date of the next ex-dividend event for the security.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4228,9,9,1.5,[]
next_shareholder_meeting_date,The scheduled date of the next annual shareholder meeting.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4903,5,5,1.5,[]
nws21_event_freq,number of events.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,0,0,1.5,[]
nws21_neg_sc,number of negative words/number of all words.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,1,1,1.5,[]
nws21_pos_sc,number of positive words/number of all words.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,6,7,1.5,[]
nws21_qerf_gen,number of negative words.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,1,1,1.5,[]
nws21_qerf_sop,number of positive words.,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,3,3,1.5,[]
nws21_tone_tone_sc,(number of positive words - number of negative words)/(number of positive words + number of negative words),news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.5102,1,1,1.5,[]
overall_tone_score_1,A numerical score representing the overall sentiment or tone of the transcript (version 1).,news21,Macro Economic Event Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.4169,0,0,1.5,[]
