id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
actual_investment_round_total,Actual total amount for the investment round.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8656,0.6957,1,1,1.5,[]
aggregate_dollar_amount,Total dollar amount for the transaction.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.2114,1,1,1.5,[]
aggregate_transaction_proceeds,Total proceeds amount for the entire transaction.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.1856,1,1,1.5,[]
basis_point_spread_to_benchmark,"Difference in yield between the offered security and a benchmark, in basis points.",news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.9307,0.1856,0,0,1.5,[]
bond_to_equity_exchange_ratio,Ratio for exchanging bonds or preferred shares for common stock.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.2045,1,1,1.5,[]
bookrunner_proceeds_amount,Proceeds amount per book runner for the market.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.1856,0,0,1.5,[]
company_employee_count,Number of employees at the company.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8656,0.6957,0,0,1.5,[]
company_employee_count_2,Number of employees at the company.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8656,0.7702,1,1,1.5,[]
company_inception_year,Year the company was established.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8656,0.6957,1,1,1.5,[]
company_industry_code,Industry classification code for the company.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8656,0.6957,1,1,1.5,[]
company_industry_sic_code,Standard Industrial Classification code for the company.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8656,0.6957,0,0,1.5,[]
company_offer_size_value,"Size of the offer made to the company, typically in monetary terms.",news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8656,0.6957,1,1,1.5,[]
company_offer_total_size,Total size of the offer for company shares or assets.,news23,MnA Deals Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8656,0.7702,0,0,1.5,[]
