id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
market_impact_indicator,Indicator of the news story's potential to move markets.,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,1,1,1.5,[]
mws38_action,News action,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,9,24,1.5,[]
mws38_analytics_entitlement,News entitlement ID (EID),news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7399,2,2,1.5,[]
mws38_analytics_time,News time,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7399,3,3,1.5,[]
mws38_entitlement,News entitlement ID (EID),news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,1,1,1.5,[]
mws38_headlinetones_sg_entitlement,News entitlement ID (EID),news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3814,4,4,1.5,[]
mws38_headlinetones_sg_time,News time,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3814,2,3,1.5,[]
mws38_negative_freq,Negative frequency,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3108,3,4,1.5,[]
mws38_negative_score,Negative score,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3108,6,6,1.5,[]
mws38_positive_freq,Positive frequency,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3086,2,2,1.5,[]
mws38_positive_score,Positive score,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3086,5,5,1.5,[]
mws38_previous,Previous news,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7399,0,0,1.5,[]
mws38_related_num,Number of stocks related to or affected by the news,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,4,4,1.5,[]
mws38_relevances,Degree of relevance the news is to the corresponding stock,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,4,5,1.5,[]
mws38_score,News score,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7399,2,2,1.5,[]
mws38_sg_entitlement,News entitlement ID (EID),news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,1,1,1.5,[]
mws38_sg_negative_freq,Negative frequency,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,0,0,1.5,[]
mws38_sg_negative_score,Negative score,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,3,7,1.5,[]
mws38_sg_positive_freq,Positive frequency,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,0,0,1.5,[]
mws38_sg_positive_score,Positive score,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,1,1,1.5,[]
mws38_sg_time,News time,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,1,1,1.5,[]
mws38_sg_tone_score,Tone score,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,1,1,1.5,[]
mws38_time,News time,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,3,3,1.5,[]
mws38_tone_score,Tone score,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3375,8,10,1.5,[]
mws38_type,News type,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7399,3,3,1.5,[]
mws38_value,News value,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7399,0,0,1.5,[]
mws38_version,News version,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7442,1,1,1.5,[]
story_analytics_category,Type or category of analytics value for the news story.,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7358,0,0,1.5,[]
story_analytics_metric_value,Numeric value of the analytics metric for the news story.,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7358,3,9,1.5,[]
story_analytics_relevance_score,Relevance or sentiment score assigned to the news story.,news38,News Analytic Model Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7358,1,1,1.5,[]
