id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
explicit_company_mention_count,Number of companies explicitly listed in the news item.,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7417,0,0,1.5,[]
first_appearance_sentence_number,Sentence number where the asset is first referenced in the news item.,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7417,0,0,1.5,[]
negative_sentiment_probability_2,Probability that the sentiment is negative for the asset.,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7417,7,7,1.5,[]
neutral_sentiment_probability_2,Probability that the sentiment is neutral for the asset.,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7417,0,0,1.5,[]
news_relevance_score,Score reflecting how pertinent the news item is to the asset.,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7417,4,6,1.5,[]
news_urgency_level,Integer indicating the urgency or type of the news story.,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7417,3,3,1.5,[]
nws31_amertimestamp_time,The time when the news arrived(American time),news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.5999,0.7504,48,62,1.5,[]
nws31_apactimestamp_time,The time when the news arrived(Asian time),news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.5999,0.7504,81,139,1.5,[]
nws31_audiences,Audience code,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7504,17,22,1.5,[]
nws31_bodysize,The size of the current version of the story body in characters,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7504,2,2,1.5,[]
nws31_companycount,The number of companies explicitly listed in the news item in the subjects field,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7504,2,2,1.5,[]
nws31_d1_bodysize,The size of the current version of the story body in characters,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9074,27,37,1.5,[]
nws31_d1_companycount,The number of companies explicitly listed in the news item in the subjects field,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,9,17,1.5,[]
nws31_d1_feedtimestamp_time,The time when the data was available on the feed,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,17,19,1.5,[]
nws31_d1_firstcreated_time,UTC timestamp for the first version of the story (time),news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,11,17,1.5,[]
nws31_d1_firstmentionsentence,"The first sentence, starting with the headline, in which the scored asset is mentioned. Thus, a value of 1 denotes the headline, 2 the first sentence of the story body, 3 the second sentence, etc.",news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9019,13,15,1.5,[]
nws31_d1_noveltycounts,"The number of similar items on a particular asset within 5 time windows. The periods are 12 hours, 24 hours, 3 days, 5 days and 7 days prior to the news item's timestamp.",news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,15,32,1.5,[]
nws31_d1_relevance,The number indicating the relevance of the news item to the asset. It ranges from 0 to 1.,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,13,17,1.5,[]
nws31_d1_sentencecount,The total number of sentences in the news item,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,24,33,1.5,[]
nws31_d1_sentimentclass,This field indicates the predominant sentiment class for this news item with respect to this asset,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.8987,31,43,1.5,[]
nws31_d1_sentimentnegative,The probability that the sentiment of the news item was negative for the asset,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,72,201,1.5,[]
nws31_d1_sentimentneutral,The probability that the sentiment of the news item was neutral for the asset,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,15,20,1.5,[]
nws31_d1_sentimentpositive,The probability that the sentiment of the news item was positive for the asset,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,21,25,1.5,[]
nws31_d1_sentimentwordcount,The number of lexical tokens (words and punctuation) in the sections of the item text that are deemed relevant to the asset,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,21,36,1.5,[]
nws31_d1_sourcetimestamp_time,UTC timestamp of this news item (time),news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,21,74,1.5,[]
nws31_d1_urgency,"Differentiates story types: 1: alert, 3: article",news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,13,16,1.5,[]
nws31_d1_volumecounts,"The number of items on a particular asset within 5 time windows. The periods are 12 hours, 24 hours, 3 days, 5 days, and 7 days prior to the news item's timestamp",news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,19,26,1.5,[]
nws31_d1_wordcount,The total number of lexical tokens (words and punctuation) in the news item. Can be used in conjunction with sentimentWordCount to determine the proportion of the news item discussing an asset,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,,0.9095,23,24,1.5,[]
nws31_emeatimestamp_time,The time when the news arrived(European time),news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,0.8007,0.7504,18,21,1.5,[]
nws31_feedtimestamp_time,The time when the data was available on the feed,news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7504,3,3,1.5,[]
nws31_firstcreated_time,UTC timestamp for the first version of the story(time),news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7504,3,3,1.5,[]
nws31_firstmentionsentence,"The first sentence, starting with the headline, in which the scored asset is mentioned Thus, a value of 1 denotes the headline, 2 the first sentence of the story body, 3 the second sentence, etc",news31,News Analytics on Equities,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7504,2,2,1.5,[]
