id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
aggregate_sentiment_total,Sum of all sentiment values for the entity over the period.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,8,16,1.5,[]
headline_item_count,Number of news headlines associated with the entity in the period.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,6,10,1.5,[]
mws85_sentiment,Sentiment based on news,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7182,28,34,1.5,[]
normalized_headline_count,News headline count normalized by a reference or average value.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,4,7,1.5,[]
peak_sentiment_value,Highest sentiment score observed for the entity in the period.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,3,3,1.5,[]
sentiment1_aggregate_total,Sum of all first sentiment values for the entity over the period.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,4,5,1.5,[]
sentiment1_average_value,Mean value of the first sentiment metric for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,3,3,1.5,[]
sentiment1_distribution_skewness,Skewness of the first sentiment value distribution for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,3,3,1.5,[]
sentiment1_highest_score,Maximum value of the first sentiment measure for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,2,2,1.5,[]
sentiment1_lowest_score,Minimum value of the first sentiment measure for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,3,3,1.5,[]
sentiment1_median_value,Median value of the first sentiment metric for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,3,3,1.5,[]
sentiment1_raw_score,Raw value of the first sentiment metric for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7182,0,0,1.5,[]
sentiment2_aggregate_total,Sum of all second sentiment values for the entity over the period.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,4,4,1.5,[]
sentiment2_average_value,Mean value of the second sentiment metric for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,4,6,1.5,[]
sentiment2_central_tendency,Median value of the second sentiment measure for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,8,9,1.5,[]
sentiment2_distribution_skewness,Skewness of the second sentiment value distribution for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,2,2,1.5,[]
sentiment2_highest_score,Maximum value of the second sentiment measure for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,2,2,1.5,[]
sentiment2_lowest_score,Minimum value of the second sentiment measure for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,9,12,1.5,[]
sentiment2_raw_score,Raw value of the second sentiment metric for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7182,1,1,1.5,[]
sentiment_distribution_skewness,Skewness of the sentiment value distribution for the entity.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,3,3,1.5,[]
sentiment_overall_average,Average sentiment value for the entity across all news items.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,4,4,1.5,[]
sentiment_overall_median,Median sentiment value for the entity across all news items.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,2,2,1.5,[]
sentiment_overall_minimum,Lowest sentiment value for the entity across all news items.,news85,News Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.8387,3,3,1.5,[]
