id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
nws18_mltpl_cmp_event_relevance,Relevance of the event to the story,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,155,280,1.5,[]
nws18_mltpl_cmp_event_simildays,Days since a similar event was detected,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,115,184,1.5,[]
nws18_multiple_comp_acb,News sentiment specializing in corporate action announcements,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,59,103,1.5,[]
nws18_multiple_comp_bam,News sentiment specializing in mergers and acquisitions,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,50,73,1.5,[]
nws18_multiple_comp_bee,News sentiment specializing in growth of earnings,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,47,62,1.5,[]
nws18_multiple_comp_ber,News sentiment specializing in earnings result,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,52,80,1.5,[]
nws18_multiple_comp_ghc_lna,Change in analyst recommendation,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,66,96,1.5,[]
nws18_multiple_comp_nip,Degree of impact of the news,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,46,59,1.5,[]
nws18_multiple_comp_qcm,News sentiment of relevant news with high confidence,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,56,112,1.5,[]
nws18_multiple_comp_qep,News sentiment based on positive and negative words on global equity,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,32,59,1.5,[]
nws18_multiple_comp_qmb,News sentiment specializing in editorials on global markets,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,297,532,1.5,[]
nws18_multiple_comp_relevance,Relevance of news to the company,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,94,206,1.5,[]
nws18_multiple_comp_ssc,Sentiment of the news calculated using multiple techniques,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,65,132,1.5,[]
nws18_multiple_comp_sse,Sentiment of phrases impacting the company,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.5,92,149,1.5,[]
rp_css_assets,Composite sentiment score of assets news,news18,Ravenpack News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.5,121,285,1.5,[]
