id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
nws73_djnindustry,Dow jones news industry,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,6,7,1.5,[]
nws73_djnsubject,Dow jones news subject,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,0,0,1.5,[]
nws73_entitiescounter,Collection of financial entities in the text alongside its frequency of apparition.,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,3,3,1.5,[]
nws73_entitiessent_certaintypartscr,Entity Certainty,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,2,3,1.5,[]
nws73_entitiessent_fearpartscr,Entity  Fear,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,6,7,1.5,[]
nws73_entitiessent_findownpartscr,Entity  Financial Down,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,0,0,1.5,[]
nws73_entitiessent_finhypepartscr,Entity  Financial Hype,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,1,1,1.5,[]
nws73_entitiessent_finuppartscr,Entity  Financial Up,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,1,1,1.5,[]
nws73_entitiessent_finvolatilepartscr,Entity  Financial Volatility,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,1,1,1.5,[]
nws73_entitiessent_negativepartscr,Entity  Negativity,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,2,2,1.5,[]
nws73_entitiessent_positivepartscr,Entity  Positivity,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,1,1,1.5,[]
nws73_entitiessent_uncertaintypartscr,Entity  Uncertainty,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,8,9,1.5,[]
nws73_globalsent_certaintyscore,Global Certainty,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,4,4,1.5,[]
nws73_globalsent_fearscore,Global Fear,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,3,3,1.5,[]
nws73_globalsent_findownscore,Global Financial Down,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,4,4,1.5,[]
nws73_globalsent_finhypescore,Global Financial Hype,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,1,1,1.5,[]
nws73_globalsent_finupscore,Global Financial Up,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,5,5,1.5,[]
nws73_globalsent_finvolatilescore,Global Financial Volatility,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,3,4,1.5,[]
nws73_globalsent_negativescore,Global Negativity,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,4,11,1.5,[]
nws73_globalsent_positivescore,Global Positivity,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,1,1,1.5,[]
nws73_globalsent_uncertaintyscore,Global Uncertainty,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,4,4,1.5,[]
nws73_headlines,Headlines,news73,Story by Story Sentiment,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.813,1,1,1.5,[]
