id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
max_primary_sentiment_score_transfer,The highest value of the primary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,4,6,1.5,[]
max_secondary_sentiment_score_transfer,The highest value of the secondary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,4,4,1.5,[]
max_sentiment_score_transfer,The maximum sentiment score derived from transferred news sentiment for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,6,7,1.5,[]
mean_primary_sentiment_score_transfer,The average value of the primary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,4,4,1.5,[]
mean_secondary_sentiment_score_transfer,The average value of the secondary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,3,3,1.5,[]
mean_sentiment_score_transfer,The average of all transferred sentiment scores for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,3,3,1.5,[]
median_primary_sentiment_score_transfer,The median value of the primary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,5,5,1.5,[]
median_secondary_sentiment_score_transfer,The median value of the secondary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,4,4,1.5,[]
median_sentiment_score_transfer,The median value of transferred sentiment scores for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,2,2,1.5,[]
min_primary_sentiment_score_transfer,The lowest value of the primary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,8,9,1.5,[]
min_secondary_sentiment_score_transfer,The lowest value of the secondary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,7,7,1.5,[]
min_sentiment_score_transfer,The minimum sentiment score derived from transferred news sentiment for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,2,2,1.5,[]
mws84_sentiment,Sentiment of headlines,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6644,21,24,1.5,[]
news_item_count_transfer,The total number of news items used for transferred sentiment calculation.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,4,8,1.5,[]
normalized_news_item_count_transfer_2,"The count of news items used for sentiment transfer, normalized for comparability.",news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,6,7,1.5,[]
primary_sentiment_score_transfer,The primary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6644,2,3,1.5,[]
secondary_sentiment_score_transfer,The secondary transferred sentiment score for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6644,3,4,1.5,[]
skew_primary_sentiment_score_transfer,The skewness of the primary transferred sentiment score distribution for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,2,2,1.5,[]
skew_secondary_sentiment_score_transfer,The skewness of the secondary transferred sentiment score distribution for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,2,2,1.5,[]
skew_sentiment_score_transfer,The skewness of the transferred sentiment score distribution for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,4,4,1.5,[]
sum_primary_sentiment_score_transfer,The sum of all primary transferred sentiment scores for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,4,4,1.5,[]
sum_secondary_sentiment_score_transfer,The sum of all secondary transferred sentiment scores for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,2,2,1.5,[]
sum_sentiment_score_transfer,The sum of all transferred sentiment scores for the period.,news84,Headline Sentiment Analysis using DNN,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.7986,4,4,1.5,[]
