id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth296_call_time,The date and time of the earnings call in UTC (universal time code),other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,11,16,1.4,[]
oth296_confidence,"A normalization of the 'Prob_' fields showing overall match to known sentiment state alone: 0.000 = zero probability, 1.000 is absolute probability. Calculation is [max Prob_]-0.333'/0.666'",other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,23,26,1.4,[]
oth296_daily_call_time,The date and time of the earnings call in UTC (universal time code),other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,4,4,1.4,[]
oth296_daily_confidence,"A normalization of the 'Prob_' fields showing overall match to known sentiment state alone: 0.000 = zero probability, 1.000 is absolute probability. Calculation is [max Prob_]-0.333'/0.666'",other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,4,4,1.4,[]
oth296_daily_prob_neg,Sentiment probability: The raw probability that the topic sentiment is negative expressed as a decimal with all three probabilities summing to 1,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,3,4,1.4,[]
oth296_daily_prob_ntr,Sentiment probability: The raw probability that the topic sentiment is neutral expressed as a decimal with all three probabilities summing to 1,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,4,4,1.4,[]
oth296_daily_prob_pos,Sentiment probability: The raw probability that the topic sentiment is positive expressed as a decimal with all three probabilities summing to 1,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,4,4,1.4,[]
oth296_daily_received_time,"The date and time Alexandria receives the transcript text, always shown in UTC (universal time code)",other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,4,4,1.4,[]
oth296_daily_sentiment,"A trinary score for sentiment of the topic identified for this transcript section, derived from the the highest probable state of sentiment, 1 = positive, 0 = neutral, and -1 = negative.",other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,5,5,1.4,[]
oth296_daily_topic_count,The number of times the identified topic is discussed in the particular section of text,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,2,2,1.4,[]
oth296_daily_word_count,The count of words in that Section,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.3509,4,4,1.4,[]
oth296_prob_neg,Sentiment probability: The raw probability that the topic sentiment is negative expressed as a decimal with all three probabilities summing to 1,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,4,4,1.4,[]
oth296_prob_ntr,Sentiment probability: The raw probability that the topic sentiment is neutral expressed as a decimal with all three probabilities summing to 1,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,2,2,1.4,[]
oth296_prob_pos,Sentiment probability: The raw probability that the topic sentiment is positive expressed as a decimal with all three probabilities summing to 1,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,4,4,1.4,[]
oth296_received_time,"The date and time Alexandria receives the transcript text, always shown in UTC (universal time code)",other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,5,6,1.4,[]
oth296_sentiment,"A trinary score for sentiment of the topic identified for this transcript section, derived from the the highest probable state of sentiment, 1 = positive, 0 = neutral, and -1 = negative.",other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,11,14,1.4,[]
oth296_topic_count,The number of times the identified topic is discussed in the particular section of text,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,2,2,1.4,[]
oth296_word_count,The count of words in that Section,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,8,8,1.4,[]
oth296_wqreceivetime,Epoch time added by WQ.,other296,Corporate Earnings Call Sentiment Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.347,2,2,1.4,[]
