id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
actual_shares_outstanding,Actual number of shares outstanding for the security.,other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,74,103,1.4,[]
oth323_esod,"Date of the Current Shares Outstanding figure for shares outstanding as reported by the source, whether through reports or feeds.",other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,37,54,1.4,[]
oth323_esor,"Total current number of shares outstanding. This data may have been obtained from annual, semi-annual, and quarterly reports, filings, press releases, or stock exchanges.",other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,82,205,1.4,[]
oth323_ibc,A Bloomberg number that is assigned to all companies that issue securities.,other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,22,30,1.4,[]
oth323_ibs,A Bloomberg number that is assigned to a specific security type.,other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,14,15,1.4,[]
oth323_par_amt,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all  equity clearance activity for the date, symbol, and transaction type in question.",other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,26,29,1.4,[]
oth323_pxrls,Minimum number of shares of stock that can be purchased without incurring a larger fee. Also known as board lot. Anything other than the round lot size is considered an odd lot.,other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,17,30,1.4,[]
oth323_pxtls,"The minimum number of shares that can be purchased, as regulated by an exchange.",other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,19,25,1.4,[]
par_value_amount,Nominal value of the security per unit.,other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,52,127,1.4,[]
round_lot_size_value,Standardized quantity of units for trading the security.,other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,31,36,1.4,[]
trade_lot_size_value,Standardized quantity of units for trading the security in a single transaction.,other323,Global Equity Premarket Data,other,Other,other-dividend-models,Dividend Models,IND,1,TOP500,VECTOR,1,0.9996,32,44,1.4,[]
