id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
chief_exec_equity_award_score,"A normalized score representing the non-cash compensation, such as equity or options, awarded to the chief executive officer.",other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,7,7,1.4,[]
chief_exec_investor_sentiment_score_em,A normalized score reflecting investor confidence in the chief executive officer for emerging markets.,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,4,4,1.4,[]
finance_exec_equity_award_score,"A normalized score representing the non-cash compensation, such as equity or options, awarded to the chief financial officer.",other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,8,9,1.4,[]
finance_exec_investor_sentiment_score_em,A normalized score reflecting investor confidence in the chief financial officer for emerging markets.,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,10,10,1.4,[]
finance_exec_salary_bonus_score,"A normalized score representing the cash compensation, such as salary and bonuses, awarded to the chief financial officer.",other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,10,11,1.4,[]
oth128_emceocashcompensation_26,CEO cash compensation,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,55,76,1.4,[]
oth128_emceotenure_31,CEO tenure,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,29,31,1.4,[]
oth128_emcfotenure_30,CFO tenure,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,18,20,1.4,[]
oth128_emexecutiveefficiencyinput_36,executive efficiency model input,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,10,10,1.4,[]
oth128_emexecutiveefficiencyoutput_37,executive efficiency model output,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,11,11,1.4,[]
oth128_emkeyexecutiveice_35,investor confidence on key executives,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,17,19,1.4,[]
oth128_emkeyexecutivetenure_32,key executive tenure,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,13,16,1.4,[]
oth128_emmarketcap_23,market cap,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,20,21,1.4,[]
oth128_emscore_38,Final Capri Score,other128,Global Executive Performance Factors,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.742,44,47,1.4,[]
