id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
company_name_match_score,Numeric score indicating similarity between extracted and actual company name.,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,7,7,1.4,[]
conference_analyst_attendees,List of analysts who participated in the conference event.,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,2,2,1.4,[]
conference_company_attendees,List of company representatives who participated in the event.,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,0,0,1.4,[]
event_full_title,"Full title of the event, often including company and event type.",other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,1,1,1.4,[]
event_headline_text,Headline or title of the event as presented in the transcript.,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,1,1,1.4,[]
oth384_oecsi,is CEO,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,7,8,1.4,[]
oth384_ofcsi,Is CFO,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,3,3,1.4,[]
oth384_presentation_count,Presentation count,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,0,0,1.4,[]
oth384_presentation_negfreq,Presentation negative frequency,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,2,2,1.4,[]
oth384_presentation_negnum,Presentation negative number,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,0,0,1.4,[]
oth384_presentation_paragraphcount,Paragraph count of the presentation,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,1,1,1.4,[]
oth384_presentation_posfreq,Presentation positive frequency,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,2,2,1.4,[]
oth384_presentation_posnum,Positive positive number,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,1,1,1.4,[]
oth384_presentation_questions,Questions in the presentation,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,3,3,1.4,[]
oth384_presentation_sentcount,Sentence count of the presentation,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,2,2,1.4,[]
oth384_presentation_tone,Presentation tone,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,1,1,1.4,[]
oth384_presentation_wordcount,Word count of the presentation,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,1,1,1.4,[]
oth384_qa_count,QA count,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,1,1,1.4,[]
oth384_qa_negnum,QA negative number,other384,NLP on conference conversation,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.2974,3,3,1.4,[]
