id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth571_views14d,Total Wikipedia page views over the past 14 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4536,57,84,1.4,[]
oth571_views1y,Total Wikipedia page views over the past year.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4021,12,13,1.4,[]
oth571_views1yafternoon,Wikipedia page views in the afternoon over the past year.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4021,12,12,1.4,[]
oth571_views1ydesktop,Wikipedia page views from desktop devices over the past year.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4021,12,27,1.4,[]
oth571_views1yevening,Wikipedia page views in the evening over the past year.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4021,6,6,1.4,[]
oth571_views1ymobile,Wikipedia page views from mobile devices over the past year.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4021,24,39,1.4,[]
oth571_views1ymorning,Wikipedia page views in the morning over the past year.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4021,14,17,1.4,[]
oth571_views1ynight,Wikipedia page views at night over the past year.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4021,4,5,1.4,[]
oth571_views28d,Total Wikipedia page views over the past 28 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4512,14,15,1.4,[]
oth571_views28dafternoon,Wikipedia page views in the afternoon over the past 28 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4512,15,21,1.4,[]
oth571_views28ddesktop,Wikipedia page views from desktop devices over the past 28 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4512,22,44,1.4,[]
oth571_views28devening,Wikipedia page views in the evening over the past 28 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4512,17,22,1.4,[]
oth571_views28dmobile,Wikipedia page views from mobile devices over the past 28 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4512,12,12,1.4,[]
oth571_views28dmorning,Wikipedia page views in the morning over the past 28 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4512,14,18,1.4,[]
oth571_views28dnight,Wikipedia page views at night over the past 28 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4512,9,9,1.4,[]
oth571_views7d,Total Wikipedia page views over the past 7 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4549,14,15,1.4,[]
oth571_views7dafternoon,Wikipedia page views in the afternoon over the past 7 natural days.,other571,Wikipedia Viewing Data,other,Other,other-analyst-models,Analyst Models,IND,1,TOP500,MATRIX,1,0.4549,12,15,1.4,[]
