id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
asia_equity_minvol1m_pca_method1_group10,Asia equity (min vol 1M) principal component grouping using method 1 with 10 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,29,37,1.2,[]
asia_equity_minvol1m_pca_method1_group2,Asia equity (min vol 1M) principal component grouping using method 1 with 2 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,12,14,1.2,[]
asia_equity_minvol1m_pca_method1_group20,Asia equity (min vol 1M) principal component grouping using method 1 with 20 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,12,20,1.2,[]
asia_equity_minvol1m_pca_method1_group5,Asia equity (min vol 1M) principal component grouping using method 1 with 5 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,10,14,1.2,[]
asia_equity_minvol1m_pca_method1_group50,Asia equity (min vol 1M) principal component grouping using method 1 with 50 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,7,14,1.2,[]
asia_equity_minvol1m_pca_method2_group10,Asia equity (min vol 1M) principal component grouping using method 2 with 10 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,10,11,1.2,[]
asia_equity_minvol1m_pca_method2_group2,Asia equity (min vol 1M) principal component grouping using method 2 with 2 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,6,6,1.2,[]
asia_equity_minvol1m_pca_method2_group20,Asia equity (min vol 1M) principal component grouping using method 2 with 20 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,6,7,1.2,[]
asia_equity_minvol1m_pca_method2_group5,Asia equity (min vol 1M) principal component grouping using method 2 with 5 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,8,9,1.2,[]
asia_equity_minvol1m_pca_method2_group50,Asia equity (min vol 1M) principal component grouping using method 2 with 50 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,5,5,1.2,[]
asia_equity_minvol1m_pca_method3_group10,Asia equity (min vol 1M) principal component grouping using method 3 with 10 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,4,5,1.2,[]
asia_equity_minvol1m_pca_method3_group2,Asia equity (min vol 1M) principal component grouping using method 3 with 2 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,5,6,1.2,[]
asia_equity_minvol1m_pca_method3_group20,Asia equity (min vol 1M) principal component grouping using method 3 with 20 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,4,5,1.2,[]
asia_equity_minvol1m_pca_method3_group5,Asia equity (min vol 1M) principal component grouping using method 3 with 5 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,4,4,1.2,[]
asia_equity_minvol1m_pca_method3_group50,Asia equity (min vol 1M) principal component grouping using method 3 with 50 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,4,4,1.2,[]
asia_equity_minvol1m_pca_method4_group10,Asia equity (min vol 1M) principal component grouping using method 4 with 10 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,3,3,1.2,[]
asia_equity_minvol1m_pca_method4_group2,Asia equity (min vol 1M) principal component grouping using method 4 with 2 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,5,5,1.2,[]
asia_equity_minvol1m_pca_method4_group20,Asia equity (min vol 1M) principal component grouping using method 4 with 20 clusters.,pv30,Alternate Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,5,5,1.2,[]
