id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
industry_grouping_level10_all_instruments_variant513,Industry classification at level 10 for all instruments in variant 513.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9426,140,258,1.2,[]
industry_grouping_level10_india500_xjp513,Industry classification group at level 10 for the top 500 Indian instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9261,74,134,1.2,[]
industry_grouping_level10_top800_xjp513,Industry classification group at level 10 for the top 800 instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.1674,9,9,1.2,[]
industry_grouping_level20_all_instruments_variant513,Industry classification at level 20 for all instruments in variant 513.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9426,79,149,1.2,[]
industry_grouping_level20_india500_xjp513,Industry classification group at level 20 for the top 500 Indian instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9261,62,108,1.2,[]
industry_grouping_level20_top800_xjp513,Industry classification group at level 20 for the top 800 instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.1674,9,10,1.2,[]
industry_grouping_level2_all_instruments_variant513,Industry classification at level 2 for all instruments in variant 513.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9426,48,71,1.2,[]
industry_grouping_level2_india500_xjp513,Industry classification group at level 2 for the top 500 Indian instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9261,96,296,1.2,[]
industry_grouping_level2_top800_xjp513,Industry classification group at level 2 for the top 800 instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.1674,0,0,1.2,[]
industry_grouping_level50_all_instruments_variant513,Industry classification at level 50 for all instruments in variant 513.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9426,97,232,1.2,[]
industry_grouping_level50_india500_xjp513,Industry classification group at level 50 for the top 500 Indian instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9261,53,76,1.2,[]
industry_grouping_level50_top800_xjp513,Industry classification group at level 50 for the top 800 instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.1674,7,7,1.2,[]
industry_grouping_level5_all_instruments_variant513,Industry classification at level 5 for all instruments in variant 513.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9426,57,109,1.2,[]
industry_grouping_level5_india500_xjp513,Industry classification group at level 5 for the top 500 Indian instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9261,52,85,1.2,[]
industry_grouping_level5_top800_xjp513,Industry classification group at level 5 for the top 800 instruments in the XJP513 universe.,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.1674,7,12,1.2,[]
sta1_allxjp_513_c10,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9394,56,88,1.2,[]
sta1_allxjp_513_c2,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9394,29,38,1.2,[]
sta1_allxjp_513_c20,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9394,94,199,1.2,[]
sta1_allxjp_513_c5,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9394,25,34,1.2,[]
sta1_allxjp_513_c50,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9394,75,143,1.2,[]
sta1_top1200xjp_513_c10,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.3582,1,1,1.2,[]
sta1_top1200xjp_513_c2,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.3582,2,2,1.2,[]
sta1_top1200xjp_513_c20,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.3582,3,3,1.2,[]
sta1_top1200xjp_513_c5,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.3582,1,1,1.2,[]
sta1_top1200xjp_513_c50,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.3582,4,5,1.2,[]
sta1_top2000xjp_513_c10,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9259,28,49,1.2,[]
sta1_top2000xjp_513_c2,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9259,14,21,1.2,[]
sta1_top2000xjp_513_c20,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9259,35,99,1.2,[]
sta1_top2000xjp_513_c5,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9259,18,20,1.2,[]
sta1_top2000xjp_513_c50,statistical industry classification,pv29,Derived Industry Classification,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,0.9259,69,242,1.2,[]
