id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
adv20,Average daily volume in past 20 days,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,748,4912,1.2,[]
cap,Daily market capitalization (in millions),pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,1277,13088,1.2,[]
close,Daily close price,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,1886,31974,1.2,[]
country,Country grouping,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,1,957,7062,1.2,[]
currency,Currency,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,1,358,3653,1.2,[]
cusip,CUSIP Value,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,SYMBOL,1,1,1,5,1.2,[]
dividend,Dividend,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,264,3524,1.2,[]
exchange,Exchange grouping,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,1,700,5768,1.2,[]
high,Daily high price,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,680,5937,1.2,[]
industry,Industry grouping,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,1,2769,46925,1.2,[]
isin,ISIN Value,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,SYMBOL,1,1,0,0,1.2,[]
low,Daily low price,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,534,4915,1.2,[]
market,Market grouping,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,1,1480,21082,1.2,[]
open,Daily open price,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,865,14736,1.2,[]
returns,Daily returns,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,1838,29729,1.2,[]
sector,Sector grouping,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,1,2359,39469,1.2,[]
sedol,Sedol,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,SYMBOL,1,1,15,51,1.2,[]
sharesout,Daily outstanding shares (in millions),pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,356,3240,1.2,[]
split,Stock split ratio,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,296,3316,1.2,[]
subindustry,Subindustry grouping,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,GROUP,1,1,2445,44456,1.2,[]
ticker,Ticker,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,SYMBOL,1,1,16,36,1.2,[]
volume,Daily volume,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,1143,8201,1.2,[]
vwap,Daily volume weighted average price,pv1,Price Volume Data for Equity,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,674,5390,1.2,[]
