id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
entity_association_strength_score,Numeric indicator reflecting the intensity or significance of the association between two entities.,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,2,2,1.2,[]
entity_association_strength_value,Floating-point metric representing the calculated strength of the association between two entities.,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
entity_pair_association_type,"Classification describing the nature of the connection between two entities, such as companies or instruments.",pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
entity_pair_relationship_type,"Type or category of relationship identified between two entities, such as companies or instruments.",pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
entity_relationship_strength_score_2,Numeric value indicating the strength or closeness of the relationship between two entities.,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
entity_relationship_strength_value_2,Floating-point value quantifying the degree of association between two entities.,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
pv70_bbgnews_relation,relation,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
pv70_bbgnews_score,score,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
pv70_bbgnews_score_float,score float,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
pv70_ibeseps1_relation,relation,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,1,1,1.2,[]
pv70_ibeseps1_score,score,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,1,1,1.2,[]
pv70_ibeseps1_score_float,score float,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,1,1,1.2,[]
pv70_ibeseps_nobackfill_relation,relation,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
pv70_ibeseps_nobackfill_score,score,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
pv70_ibeseps_nobackfill_score_float,score float,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
pv70_ibeseps_relation,relation,pv70,Relation Dataset,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,1,0,0,1.2,[]
