id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
business_partnership_category,"Type of strategic partnership between companies (e.g., joint venture, licensing).",pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.5434,1,1,1.2,[]
company_customer_entity,Entity identified as a customer of the company.,pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.34,2,2,1.2,[]
company_partner_entity,Entity identified as a strategic partner of the company.,pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.5434,3,3,1.2,[]
company_product_tradename,Product or tradename associated with the company.,pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.9731,4,11,1.2,[]
company_relationship_type,"Type of business relationship between two companies (e.g., supplier, customer, competitor, partner).",pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.6646,3,3,1.2,[]
customer_revenue_share_percent,Percentage of company revenue attributed to a specific customer.,pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.34,2,2,1.2,[]
exposure_estimation_confidence_score,Confidence score indicating reliability of the estimated exposure value.,pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.9549,9,9,1.2,[]
exposure_estimation_precision_score,Precision or error range for the estimated exposure value.,pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.9549,2,2,1.2,[]
exposure_report_period_length,Length of the reporting period for geographic exposure data.,pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.9549,3,3,1.2,[]
exposure_report_type_code,"Type of reporting period for the geographic exposure report (e.g., annual, quarterly).",pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,VECTOR,1,0.9549,4,4,1.2,[]
pv13_1l_scibr,grouping fields,pv13,Relationship Data for Equity,pv,Price Volume,pv-relationship,Relationship,IND,1,TOP500,GROUP,1,0.9681,33,66,1.2,[]
