id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
snt21_2neg_conf_low,Lower confidence bound for negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,305,665,1.4,[]
snt21_2neg_conf_up,Upper confidence bound for negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,180,452,1.4,[]
snt21_2neg_max,Maximum value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,180,383,1.4,[]
snt21_2neg_mean,Mean value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,112,187,1.4,[]
snt21_2neg_median,Median value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,99,225,1.4,[]
snt21_2neg_min,Minimum value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,94,210,1.4,[]
snt21_2neg_std,Standard deviation of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,105,236,1.4,[]
snt21_2neut_conf_low,Lower confidence bound for neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,85,170,1.4,[]
snt21_2neut_conf_up,Upper confidence bound for neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,63,100,1.4,[]
snt21_2neut_max,Maximum value of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,71,134,1.4,[]
snt21_2neut_mean,Mean value of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,62,123,1.4,[]
snt21_2neut_median,Median value of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,66,113,1.4,[]
snt21_2neut_min,Minimum value of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,95,190,1.4,[]
snt21_2neut_std,Standard deviation of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,47,60,1.4,[]
snt21_2pos_conf_low,Lower confidence bound for positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,51,94,1.4,[]
snt21_2pos_conf_up,Upper confidence bound for positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,59,90,1.4,[]
snt21_2pos_max,Maximum value of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,68,113,1.4,[]
snt21_2pos_mean,Mean value of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,75,138,1.4,[]
snt21_2pos_median,Median value of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,46,66,1.4,[]
snt21_2pos_min,Minimum value of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,79,153,1.4,[]
snt21_2pos_std,Standard deviation of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,108,271,1.4,[]
snt21_3neg_conf_low,Lower confidence bound for negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,40,106,1.4,[]
snt21_3neg_conf_up,Upper confidence bound for negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,30,46,1.4,[]
snt21_3neg_max,Maximum value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,34,56,1.4,[]
snt21_3neg_mean,Mean value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,35,47,1.4,[]
snt21_3neg_median,Median value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,30,53,1.4,[]
snt21_3neg_min,Minimum value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,29,56,1.4,[]
snt21_3neg_std,Standard deviation of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,33,54,1.4,[]
snt21_3neut_conf_low,Lower confidence bound for neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,32,45,1.4,[]
snt21_3neut_conf_up,Upper confidence bound for neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,18,22,1.4,[]
snt21_3neut_max,Maximum value of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,25,27,1.4,[]
snt21_3neut_mean,Mean value of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,30,46,1.4,[]
snt21_3neut_median,Median value of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,29,39,1.4,[]
snt21_3neut_min,Minimum value of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,24,67,1.4,[]
snt21_3neut_std,Standard deviation of neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,35,57,1.4,[]
snt21_3pos_conf_low,Lower confidence bound for positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,24,38,1.4,[]
snt21_3pos_conf_up,Upper confidence bound for positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,24,24,1.4,[]
snt21_3pos_max,Maximum value of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,25,35,1.4,[]
snt21_3pos_mean,Mean value of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,21,22,1.4,[]
snt21_3pos_median,Median value of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,28,47,1.4,[]
snt21_3pos_min,Minimum value of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,25,32,1.4,[]
snt21_3pos_std,Standard deviation of positive sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,72,135,1.4,[]
snt21_4neg_conf_low,Lower confidence bound for negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,33,47,1.4,[]
snt21_4neg_conf_up,Upper confidence bound for negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,24,30,1.4,[]
snt21_4neg_max,Maximum value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,36,39,1.4,[]
snt21_4neg_mean,Mean value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,31,40,1.4,[]
snt21_4neg_median,Median value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,24,43,1.4,[]
snt21_4neg_min,Minimum value of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,25,63,1.4,[]
snt21_4neg_std,Standard deviation of negative sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,24,29,1.4,[]
snt21_4neut_conf_low,Lower confidence bound for neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,17,26,1.4,[]
snt21_4neut_conf_up,Upper confidence bound for neutral sentiment scores.,sentiment21,AI Sentiment Score Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.9681,15,16,1.4,[]
