id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
snt23_2neg_conf_low,95% interval lower end point of negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,85,136,1.4,[]
snt23_2neg_conf_up,95% interval upper end point of negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,62,162,1.4,[]
snt23_2neg_max,Maximum negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,44,89,1.4,[]
snt23_2neg_mean,Average negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,44,64,1.4,[]
snt23_2neg_median,Median negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,38,54,1.4,[]
snt23_2neg_min,Minimum negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,28,29,1.4,[]
snt23_2neg_std,Standard Deviation of negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,55,100,1.4,[]
snt23_2neut_conf_low,95% interval lower end point of neutral sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,24,24,1.4,[]
snt23_2neut_conf_up,95% interval upper end point of neutral sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,17,18,1.4,[]
snt23_2neut_max,Maximum neutral sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,41,103,1.4,[]
snt23_2neut_mean,Average neutral sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,36,49,1.4,[]
snt23_2neut_median,Median neutral sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,21,45,1.4,[]
snt23_2neut_min,Minimum neutral sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,18,23,1.4,[]
snt23_2neut_std,Standard Deviation of neutral sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,19,20,1.4,[]
snt23_2pos_conf_low,95% interval lower end point of positive sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,20,22,1.4,[]
snt23_2pos_conf_up,95% interval upper end point of positive sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,19,24,1.4,[]
snt23_2pos_max,Maximum positive sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,22,24,1.4,[]
snt23_2pos_mean,Average positive sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,25,38,1.4,[]
snt23_2pos_median,Median positive sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,41,86,1.4,[]
snt23_2pos_min,Minimum positive sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,43,50,1.4,[]
snt23_2pos_std,Standard Deviation of positive sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,21,23,1.4,[]
snt23_3neg_conf_low,95% interval lower end point of negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,14,17,1.4,[]
snt23_3neg_conf_up,95% interval upper end point of negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,8,8,1.4,[]
snt23_3neg_max,Maximum negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,16,17,1.4,[]
snt23_3neg_mean,Average negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,8,10,1.4,[]
snt23_3neg_median,Median negative sentiment value,sentiment23,Textual Sentiment Analysis Data,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,MATRIX,1,0.7028,10,10,1.4,[]
