id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
snt26_avgranking,Average of rankings,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,89,206,1.4,[]
snt26_kurtosis,Kurtosis of ranking,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,55,142,1.4,[]
snt26_rank,rank of the domain,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5312,41,96,1.4,[]
snt26_relpopularity08,Relative popularity calculated with alpha=0.8,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,57,178,1.4,[]
snt26_relpopularity1,Relative popularity calculated with alpha=1,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,50,128,1.4,[]
snt26_skewness,Skewness of ranking,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,49,122,1.4,[]
snt26_top10pctranking,The top 10% percentile ranking,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,26,82,1.4,[]
snt26_top10pctrankingavg,The average ranking of the top 10% percentile,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,32,77,1.4,[]
snt26_top25pctranking,The top 25% percentile ranking,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,27,60,1.4,[]
snt26_top25pctrankingavg,The average ranking of the top 25% percentile,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,22,67,1.4,[]
snt26_top50pctranking,The top 50% percentile ranking,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,25,59,1.4,[]
snt26_top50pctrankingavg,The average ranking of the top 50% percentile,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,15,41,1.4,[]
snt26_top75pctranking,The top 75% percentile ranking,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,21,36,1.4,[]
snt26_top75pctrankingavg,The average ranking of the top 75% percentile,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,20,29,1.4,[]
snt26_topranking,The top ranking,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,39,118,1.4,[]
snt26_totalcountrydomains,Total number of country-code TLDs,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,30,48,1.4,[]
snt26_totaldomains,Total number of sub-domains,sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,33,76,1.4,[]
snt26_wq_pit,"For ongoing data it is wq_append_time, for history data it simulated from PIT simulation field in the MCD input settings. MCD builder can disable auto-filled value of wq_pit for ongoing, by checking the flag ""Always simulate PIT"" in MCD Output Config",sentiment26,Website Popularity Ranking Dataset,sentiment,Sentiment,sentiment-sentiment,Sentiment,IND,1,TOP500,VECTOR,0.7202,0.5318,49,113,1.4,[]
